rank,symbol,deployment_tier,cwdas_score,alloc_A_current,alloc_B_moderate,alloc_C_balanced,alloc_D_linear,delta_B,delta_C,delta_D,note_curve_A,note_curve_B,note_curve_C,note_curve_D
1,VRT,TIER_1,95.5,8810.94,6740.20,9135.19,5766.52,-2070.74,+324.25,-3044.42,sqrt rank decay,rank^0.35 decay,log2 decay,linear decay
2,ARW,TIER_2,94.12,2046.75,1737.28,1893.46,1833.29,-309.47,-153.29,-213.46,,,, 
3,SNX,TIER_2,93.48,1659.80,1497.18,1490.33,1760.13,-162.62,-169.47,+100.33,,,, 
4,ATLC,TIER_2,93.47,1437.27,1353.63,1283.56,1699.25,-83.65,-153.71,+261.98,,,, 
5,PSX,TIER_2,93.35,1283.89,1250.33,1151.47,1636.46,-33.56,-132.42,+352.57,,,, 
6,CBOE,TIER_2,93.08,1168.63,1169.64,1057.19,1571.29,+1.01,-111.44,+402.66,,,, 
7,AVT,TIER_2,92.12,1070.79,1096.78,979.10,1495.28,+25.99,-91.69,+424.49,,,, 
8,LRCX,TIER_2,91.74,997.50,1042.38,922.79,1429.54,+44.88,-74.71,+432.05,,,, 
9,CAH,TIER_2,91.62,939.22,998.97,879.41,1368.19,+59.75,-59.81,+428.97,,,, 
10,DELL,TIER_2,90.91,884.12,955.34,837.91,1298.56,+71.22,-46.20,+414.44,,,, 
11,SANM,TIER_2,90.78,841.77,922.68,807.42,1237.76,+80.91,-34.35,+396.00,,,, 
12,PCB,TIER_2,90.75,805.66,894.71,781.96,1178.43,+89.05,-23.70,+372.77,,,, 
13,CIEN,TIER_2,90.07,768.26,863.47,754.31,1111.12,+95.22,-13.95,+342.86,,,, 
14,NUE,TIER_2,89.61,736.53,837.07,731.34,1047.27,+100.54,-5.19,+310.74,,,, 
15,GFF,TIER_3,88.5,702.74,806.97,705.47,976.83,+104.23,+2.72,+274.09,,,, 
16,ALNT,TIER_3,88.45,680.04,788.50,689.98,918.85,+108.46,+9.94,+238.81,,,, 
17,MTZ,TIER_3,88.35,658.99,771.08,675.57,860.45,+112.09,+16.58,+201.46,,,, 
18,CRS,TIER_3,88.2,639.34,754.52,662.04,801.72,+115.18,+22.70,+162.39,,,, 
19,CMCO,TIER_3,87.96,620.59,738.36,648.93,742.43,+117.77,+28.34,+121.84,,,, 
20,ANGO,TIER_3,87.89,604.40,724.65,638.03,684.78,+120.25,+33.63,+80.38,,,, 
21,FSLR,TIER_3,87.49,587.15,709.14,625.56,624.85,+121.99,+38.42,+37.71,,,, 
22,UHS,TIER_3,87.34,572.66,696.49,615.64,567.08,+123.82,+42.97,-5.58,,,, 
23,HALO,TIER_3,87.06,558.28,683.54,605.45,508.73,+125.26,+47.17,-49.55,,,, 
24,BSVN,TIER_3,86.75,544.58,671.03,595.64,450.60,+126.45,+51.06,-93.98,,,, 
25,STLD,TIER_3,86.6,532.65,660.37,587.45,393.59,+127.72,+54.80,-139.06,,,, 
26,AGEN,TIER_3,86.57,522.13,651.14,580.52,337.25,+129.01,+58.39,-184.88,,,, 
27,YELP,TIER_3,86.43,511.54,641.56,573.26,280.58,+130.02,+61.72,-230.96,,,, 
28,DVN,TIER_3,86.42,502.26,633.37,567.22,224.44,+131.11,+64.95,-277.82,,,, 
29,UTHR,TIER_3,86.36,493.19,625.20,561.18,168.21,+132.01,+67.99,-324.98,,,, 
30,ANIP,TIER_3,86.22,484.11,616.83,554.92,111.96,+132.72,+70.81,-372.15,,,, 
31,AZZ,TIER_3,86.1,475.58,608.94,549.07,55.90,+133.36,+73.49,-419.68,,,, 
