symbol,replay_supported,replay_percentile,composite_score,signal_direction,ucf_label,market_cap_bucket,geography,industry,asset_class,opportunity_flag,missing_coverage_category,missing_coverage_reason
AEIS,Yes,20.0,3.611111,BULLISH,HIGH_CONVICTION_ANCHOR,SMALL,US,INDUSTRIALS,EQUITIES,ACCUMULATE,,Replay evidence available
AGEN,Yes,,3.444444,BULLISH,DEPLOYMENT_CANDIDATE,MICRO,US,HEALTHCARE,EQUITIES,ACCUMULATE,,Replay evidence available
ALNT,Yes,,3.777778,BULLISH,HIGH_CONVICTION_ANCHOR,MICRO,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
AMG,No,,3.0,NEUTRAL,TACTICAL_GROWTH,SMALL,US,FINANCIAL SERVICES,EQUITIES,HOLD,RC-02,Cohort exists for US/SMALL but symbol did not rank in top-N selection
AMZN,Yes,43.8,3.0,NEUTRAL,DEPLOYMENT_CANDIDATE,MEGA,US,CONSUMER CYCLICAL,EQUITIES,HOLD,,Replay evidence available
ANGO,Yes,,3.777778,BULLISH,HIGH_CONVICTION_ANCHOR,MICRO,US,HEALTHCARE,EQUITIES,ACCUMULATE,,Replay evidence available
ANIP,Yes,,2.944444,NEUTRAL,TACTICAL_GROWTH,MICRO,US,HEALTHCARE,EQUITIES,HOLD,,Replay evidence available
ARW,Yes,95.0,4.833333,BULLISH,HIGH_CONVICTION_ANCHOR,SMALL,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
ASML,Yes,100.0,4.611111,BULLISH,HIGH_CONVICTION_ANCHOR,MEGA,INTERNATIONAL,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
ATLC,Yes,,4.5,BULLISH,HIGH_CONVICTION_ANCHOR,MICRO,US,FINANCIAL SERVICES,EQUITIES,ACCUMULATE,,Replay evidence available
AVGO,Yes,68.8,3.722222,BULLISH,HIGH_CONVICTION_ANCHOR,MEGA,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
AVT,Yes,,4.555556,BULLISH,HIGH_CONVICTION_ANCHOR,SMALL,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
AZZ,Yes,,2.888889,NEUTRAL,TACTICAL_GROWTH,SMALL,US,INDUSTRIALS,EQUITIES,HOLD,,Replay evidence available
BND,No,,,UNKNOWN,MAINTAIN,N/A,US,ALL,FIXED_INCOME,HOLD,RC-04,Non-equity asset class (FIXED_INCOME) — replay not applicable
BNDX,No,,,UNKNOWN,MAINTAIN,N/A,INTERNATIONAL,ALL,FIXED_INCOME,HOLD,RC-04,Non-equity asset class (FIXED_INCOME) — replay not applicable
BSVN,No,,,UNKNOWN,MAINTAIN,MICRO,US,Banks - Regional,EQUITIES,HOLD,RC-02,Symbol appeared in US/MICRO cohort universe but did not score in top-N at replay snapshot date
CAH,Yes,,4.444444,BULLISH,HIGH_CONVICTION_ANCHOR,MID,US,HEALTHCARE,EQUITIES,ACCUMULATE,,Replay evidence available
CBOE,Yes,,3.5,BULLISH,HIGH_CONVICTION_ANCHOR,MID,US,FINANCIAL SERVICES,EQUITIES,ACCUMULATE,,Replay evidence available
CIEN,No,,4.888889,BULLISH,TACTICAL_GROWTH,LARGE,US,TECHNOLOGY,EQUITIES,HOLD,RC-02,Symbol appeared in US/LARGE cohort universe but did not score in top-N at replay snapshot date
CMCO,Yes,,3.055556,NEUTRAL,DEPLOYMENT_CANDIDATE,MICRO,US,INDUSTRIALS,EQUITIES,HOLD,,Replay evidence available
CRS,Yes,,4.0,BULLISH,HIGH_CONVICTION_ANCHOR,MID,US,INDUSTRIALS,EQUITIES,ACCUMULATE,,Replay evidence available
CVE,Yes,100.0,4.888889,BULLISH,HIGH_CONVICTION_ANCHOR,MID,INTERNATIONAL,ENERGY,EQUITIES,ACCUMULATE,,Replay evidence available
DELL,Yes,95.0,4.722222,BULLISH,CORE_CONVICTION_LEADER,LARGE,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
DODFX,No,,,UNKNOWN,MAINTAIN,LARGE,INTERNATIONAL,ALL,EQUITIES,HOLD,RC-02,Cohort exists for INTERNATIONAL/LARGE but symbol did not rank in top-N selection
DVN,Yes,,3.0,NEUTRAL,DEPLOYMENT_CANDIDATE,MID,US,ENERGY,EQUITIES,HOLD,,Replay evidence available
FBTC,No,,,UNKNOWN,MAINTAIN,N/A,GLOBAL,Bitcoin,DIGITAL,HOLD,RC-04,Non-equity asset class (DIGITAL) — replay not applicable
FCPGX,No,,,UNKNOWN,MAINTAIN,SMALL,US,ALL,EQUITIES,HOLD,RC-02,Cohort exists for US/SMALL but symbol did not rank in top-N selection
FETH,No,,,UNKNOWN,MAINTAIN,N/A,GLOBAL,Ethereum,DIGITAL,HOLD,RC-04,Non-equity asset class (DIGITAL) — replay not applicable
FHI,No,,3.5,BULLISH,TACTICAL_GROWTH,SMALL,US,FINANCIAL SERVICES,EQUITIES,HOLD,RC-02,Cohort exists for US/SMALL but symbol did not rank in top-N selection
FMCSX,No,,,UNKNOWN,MAINTAIN,MID,US,ALL,EQUITIES,HOLD,RC-02,Cohort exists for US/MID but symbol did not rank in top-N selection
FSLR,Yes,,3.777778,BULLISH,HIGH_CONVICTION_ANCHOR,MID,US,TECHNOLOGY,EQUITIES,ACCUMULATE,,Replay evidence available
FSOL,No,,,UNKNOWN,MAINTAIN,N/A,GLOBAL,Solana,DIGITAL,HOLD,RC-04,Non-equity asset class (DIGITAL) — replay not applicable
FXAIX,No,,,UNKNOWN,MAINTAIN,MEGA,US,ALL,EQUITIES,HOLD,RC-02,Cohort exists for US/MEGA but symbol did not rank in top-N selection
GFF,Yes,,3.222222,NEUTRAL,TACTICAL_GROWTH,SMALL,US,INDUSTRIALS,EQUITIES,HOLD,,Replay evidence available
GTX,Yes,100.0,4.777778,BULLISH,HIGH_CONVICTION_ANCHOR,SMALL,INTERNATIONAL,CONSUMER CYCLICAL,EQUITIES,ACCUMULATE,,Replay evidence available
HALO,Yes,,3.611111,BULLISH,HIGH_CONVICTION_ANCHOR,SMALL,US,HEALTHCARE,EQUITIES,ACCUMULATE,,Replay evidence available
HCI,No,,3.777778,BULLISH,TACTICAL_GROWTH,MICRO,US,FINANCIAL SERVICES,EQUITIES,HOLD,RC-02,Cohort exists for US/MICRO but symbol did not rank in top-N selection
IVZ,No,,3.611111,BULLISH,TACTICAL_GROWTH,SMALL,US,FINANCIAL SERVICES,EQUITIES,HOLD,RC-02,Cohort exists for US/SMALL but symbol did not rank in top-N selection
JBL,No,,3.611111,BULLISH,TACTICAL_GROWTH,MID,US,TECHNOLOGY,EQUITIES,HOLD,RC-02,Cohort exists for US/MID but symbol did not rank in top-N selection
KGC,No,,2.611111,NEUTRAL,TACTICAL_GROWTH,MID,INTERNATIONAL,BASIC MATERIALS,EQUITIES,HOLD,RC-02,Cohort exists for INTERNATIONAL/MID but symbol did not rank in top-N selection
