symbol,current_weight_pct,composite_score,replay_supported,trim_score,base_eligible,tier_A_100,tier_B_125,tier_C_150,tier_D_200,alloc_A_100,alloc_B_125,alloc_C_150,alloc_D_200,rank_A_100,rank_B_125,rank_C_150,rank_D_200,ccl_qual_reason
MU,6.1396,4.7222,True,2.76,True,CCL,CCL,CCL,CCL,0.00,0.00,0.00,0.00,36,34,36,35,BULLISH+replay+composite4.72+trim2.76 (blocked: above WARN threshold)
SBS,3.8330,3.7143,True,24.72,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,42,42,42,42,composite<4.0(3.71)
VRT,3.6019,4.5556,True,1.62,True,CCL,CCL,CCL,CCL,3297.00,5501.00,8822.00,8822.00,4,2,1,1,BULLISH+replay+composite4.56+trim1.62
NVDA,3.1966,3.8333,True,12.94,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,41,41,41,41,composite<4.0(3.83)
CVE,2.4674,4.8333,True,12.61,True,CCL,CCL,CCL,CCL,0.00,0.00,0.00,0.00,32,31,32,31,BULLISH+replay+composite4.83+trim12.61 (blocked: OW node or low headroom)
TSM,2.3282,4.4444,True,12.55,True,CCL,CCL,CCL,CCL,0.00,0.00,0.00,0.00,33,32,33,32,BULLISH+replay+composite4.44+trim12.55 (blocked: OW node or low headroom)
GTX,1.9393,4.1667,True,12.37,True,CCL,CCL,CCL,HCA,0.00,0.00,0.00,0.00,34,33,34,33,BULLISH+replay+composite4.17+trim12.37 (blocked: OW node or low headroom)
DELL,1.3176,4.4444,True,0.59,True,CCL,CCL,HCA,HCA,4779.00,7973.00,885.00,885.00,3,1,10,10,BULLISH+replay+composite4.44+trim0.59
CIEN,1.1690,4.2778,True,0.53,True,CCL,HCA,HCA,HCA,3870.00,678.00,769.00,769.00,6,13,13,13,BULLISH+replay+composite4.28+trim0.53
CAH,1.0561,4.5000,True,0.48,True,CCL,HCA,HCA,HCA,6806.00,786.00,940.00,940.00,1,9,9,9,BULLISH+replay+composite4.50+trim0.48
LRCX,0.9540,4.5000,True,0.43,True,HCA,HCA,HCA,HCA,0.00,830.00,998.00,998.00,5,8,8,8,weight<1.00%(0.95%) under A_100
PCB,0.9448,4.3333,True,0.43,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,8,11,12,12,weight<1.00%(0.94%) under A_100
DVN,0.9387,3.6111,True,0.42,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,28,28,28,28,composite<4.0(3.61)
AVGO,0.9311,3.7222,True,11.92,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,39,39,39,39,composite<4.0(3.72)
MSFT,0.9309,3.4444,True,11.92,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,40,40,40,40,composite<4.0(3.44)
AVT,0.9256,4.5556,True,0.42,True,HCA,HCA,HCA,HCA,670.00,884.00,1072.00,1072.00,10,7,7,7,weight<1.00%(0.93%) under A_100
ARW,0.9169,4.8889,True,0.41,True,HCA,HCA,HCA,HCA,968.00,1475.00,2048.00,2048.00,5,3,2,2,weight<1.00%(0.92%) under A_100
ATLC,0.8894,4.7778,True,0.40,True,HCA,HCA,HCA,HCA,813.00,1135.00,1439.00,1439.00,7,4,4,4,weight<1.00%(0.89%) under A_100
SNX,0.8646,4.7778,True,0.39,True,HCA,HCA,HCA,HCA,879.00,1269.00,1662.00,1662.00,6,5,3,3,weight<1.00%(0.86%) under A_100
ANIP,0.8512,3.5556,True,0.38,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,30,30,30,30,composite<4.0(3.56)
ANGO,0.8379,3.8333,True,0.38,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,20,20,20,20,composite<4.0(3.83)
NUE,0.7871,4.1111,True,0.35,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,14,14,14,14,weight<1.00%(0.79%) under A_100
PSX,0.7483,4.7222,True,0.34,True,HCA,HCA,HCA,HCA,759.00,1034.00,1285.00,1285.00,9,6,5,5,weight<1.00%(0.75%) under A_100
CBOE,0.7234,4.6667,True,0.33,True,HCA,HCA,HCA,HCA,714.00,955.00,1169.00,1169.00,11,7,6,6,weight<1.00%(0.72%) under A_100
HALO,0.7161,3.6667,True,0.32,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,23,23,23,23,composite<4.0(3.67)
ASML,0.6886,4.6667,True,11.81,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,35,35,35,35,weight<1.00%(0.69%) under A_100
SANM,0.6617,4.2778,True,0.30,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,15,15,11,11,weight<1.00%(0.66%) under A_100
FSLR,0.6375,3.7222,True,0.29,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,21,21,21,21,composite<4.0(3.72)
BSVN,0.5640,4.0000,True,0.25,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,24,24,24,24,weight<1.00%(0.56%) under A_100
STLD,0.5494,3.5556,True,0.25,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,25,25,25,25,composite<4.0(3.56)
STNG,0.4666,4.7143,True,11.71,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,37,37,37,37,weight<1.00%(0.47%) under A_100
AZZ,0.4370,3.4444,True,0.20,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,31,31,31,31,composite<4.0(3.44)
GFF,0.3740,3.8333,True,0.17,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,15,15,15,15,composite<4.0(3.83)
SIMO,0.2914,4.5714,True,11.63,True,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,38,38,38,38,weight<1.00%(0.29%) under A_100
UHS,0.2567,3.6111,True,0.12,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,22,22,22,22,composite<4.0(3.61)
UTHR,0.2366,3.4444,True,0.11,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,29,29,29,29,composite<4.0(3.44)
MTZ,0.2346,3.7778,True,0.11,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,17,17,17,17,composite<4.0(3.78)
YELP,0.1810,3.4444,True,0.08,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,27,27,27,27,composite<4.0(3.44)
ALNT,0.1580,3.7778,True,0.07,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,16,16,16,16,composite<4.0(3.78)
CRS,0.0975,3.7222,True,0.04,False,HCA,HCA,HCA,HCA,0.00,0.00,0.00,0.00,18,18,18,18,composite<4.0(3.72)
