symbol,conviction_points,narrative_tier,strategic_classification,replay_supported,trim_score,weight_pct,ucf_label,composite_score,signal_component,replay_component,sizing_component,momentum_component,redundancy_pen,conc_pen,cw_das_score,deployment_tier,suggested_add_usd,ess_score_text,signal_direction,headroom_pct,deployment_weight,ccl_gate_met,ccl_gate_fail_reason
VRT,35.0,CORE_CONVICTION_LEADER,HIGH_CONVICTION_RETAIN,True,1.62,3.6019,CORE_CONVICTION_LEADER,4.5556,27.33,20.0,3.2,10.0,0.0,0.0,95.53,TIER_1,8822.26,VERY_BULLISH,BULLISH,40.0,286.59,True,
ARW,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.41,0.9169,HIGH_CONVICTION_ANCHOR,4.8889,29.33,20.0,6.78,10.0,0.0,0.0,94.11,TIER_2,2048.52,VERY_BULLISH,BULLISH,84.7,66.55,False,weight=0.92%<1.5%
SNX,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.39,0.8646,HIGH_CONVICTION_ANCHOR,4.7778,28.67,20.0,6.85,10.0,0.0,0.0,93.51,TIER_2,1661.94,VERY_BULLISH,BULLISH,85.6,53.99,False,weight=0.86%<1.5%
ATLC,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.4,0.8894,HIGH_CONVICTION_ANCHOR,4.7778,28.67,20.0,6.81,10.0,0.0,0.0,93.48,TIER_2,1438.82,VERY_BULLISH,BULLISH,85.2,46.74,False,weight=0.89%<1.5%
PSX,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.34,0.7483,HIGH_CONVICTION_ANCHOR,4.7222,28.33,20.0,7.0,10.0,0.0,0.0,93.34,TIER_2,1285.0,VERY_BULLISH,BULLISH,87.5,41.74,False,weight=0.75%<1.5%
CBOE,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.33,0.7234,HIGH_CONVICTION_ANCHOR,4.6667,28.0,20.0,7.04,10.0,0.0,0.0,93.04,TIER_2,1169.26,VERY_BULLISH,BULLISH,87.9,37.98,False,weight=0.72%<1.5%
AVT,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.42,0.9256,HIGH_CONVICTION_ANCHOR,4.5556,27.33,20.0,6.77,10.0,0.0,0.0,92.1,TIER_2,1071.59,VERY_BULLISH,BULLISH,84.6,34.81,False,weight=0.93%<1.5%
LRCX,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.43,0.954,HIGH_CONVICTION_ANCHOR,4.5,27.0,20.0,6.73,10.0,0.0,0.0,91.73,TIER_2,998.36,VERY_BULLISH,BULLISH,84.1,32.43,False,weight=0.95%<1.5%
CAH,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.48,1.0561,HIGH_CONVICTION_ANCHOR,4.5,27.0,20.0,6.59,10.0,0.0,0.0,91.59,TIER_2,939.82,VERY_BULLISH,BULLISH,82.4,30.53,False,weight=1.06%<1.5%
DELL,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.59,1.3176,HIGH_CONVICTION_ANCHOR,4.4444,26.67,20.0,6.24,10.0,0.0,0.0,90.91,TIER_2,884.97,VERY_BULLISH,BULLISH,78.0,28.75,False,weight=1.32%<1.5%
SANM,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.3,0.6617,HIGH_CONVICTION_ANCHOR,4.2778,25.67,20.0,7.12,10.0,0.0,0.0,90.78,TIER_2,842.58,BULLISH,BULLISH,89.0,27.37,False,weight=0.66%<1.5%
PCB,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.43,0.9448,HIGH_CONVICTION_ANCHOR,4.3333,26.0,20.0,6.74,10.0,0.0,0.0,90.74,TIER_2,806.36,VERY_BULLISH,BULLISH,84.3,26.19,False,weight=0.94%<1.5%
CIEN,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.53,1.169,HIGH_CONVICTION_ANCHOR,4.2778,25.67,20.0,6.44,10.0,0.0,0.0,90.11,TIER_2,769.34,BULLISH,BULLISH,80.5,24.99,False,weight=1.17%<1.5%
NUE,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.35,0.7871,HIGH_CONVICTION_ANCHOR,4.1111,24.67,20.0,6.95,10.0,0.0,0.0,89.62,TIER_2,737.33,BULLISH,BULLISH,86.9,23.95,False,weight=0.79%<1.5%
GFF,28.0,HIGH_CONVICTION_ANCHOR,HIGH_CONVICTION_RETAIN,True,0.17,0.374,HIGH_CONVICTION_ANCHOR,3.8333,23.0,20.0,7.5,10.0,0.0,0.0,88.5,TIER_3,703.42,BULLISH,BULLISH,93.8,22.85,False,weight=0.37%<1.5%; composite=3.8333<4.0
