rank,symbol,deployment_tier,cwdas_score,alloc_dollars,alloc_pct,cumulative_pct,rank_ratio_vs_1,conviction_mult
1,VRT,TIER_1,95.5,8810.94,26.5859,26.5859,1.00,3.0 (CCL)
2,ARW,TIER_2,94.12,2046.75,6.1758,32.7618,4.30,1.0 (HCA)
3,SNX,TIER_2,93.48,1659.80,5.0082,37.7700,5.31,1.0 (HCA)
4,ATLC,TIER_2,93.47,1437.27,4.3368,42.1068,6.13,1.0 (HCA)
5,PSX,TIER_2,93.35,1283.89,3.8740,45.9808,6.86,1.0 (HCA)
6,CBOE,TIER_2,93.08,1168.63,3.5262,49.5070,7.54,1.0 (HCA)
7,AVT,TIER_2,92.12,1070.79,3.2310,52.7379,8.23,1.0 (HCA)
8,LRCX,TIER_2,91.74,997.50,3.0098,55.7478,8.83,1.0 (HCA)
9,CAH,TIER_2,91.62,939.22,2.8340,58.5818,9.38,1.0 (HCA)
10,DELL,TIER_2,90.91,884.12,2.6677,61.2495,9.97,1.0 (HCA)
11,SANM,TIER_2,90.78,841.77,2.5399,63.7894,10.47,1.0 (HCA)
12,PCB,TIER_2,90.75,805.66,2.4310,66.2204,10.94,1.0 (HCA)
13,CIEN,TIER_2,90.07,768.26,2.3181,68.5385,11.47,1.0 (HCA)
14,NUE,TIER_2,89.61,736.53,2.2224,70.7609,11.96,1.0 (HCA)
15,GFF,TIER_3,88.5,702.74,2.1204,72.8813,12.54,1.0 (HCA)
16,ALNT,TIER_3,88.45,680.04,2.0519,74.9333,12.96,1.0 (HCA)
17,MTZ,TIER_3,88.35,658.99,1.9884,76.9217,13.37,1.0 (HCA)
18,CRS,TIER_3,88.2,639.34,1.9291,78.8508,13.78,1.0 (HCA)
19,CMCO,TIER_3,87.96,620.59,1.8726,80.7234,14.20,1.0 (HCA)
20,ANGO,TIER_3,87.89,604.40,1.8237,82.5471,14.58,1.0 (HCA)
21,FSLR,TIER_3,87.49,587.15,1.7717,84.3187,15.01,1.0 (HCA)
22,UHS,TIER_3,87.34,572.66,1.7279,86.0467,15.39,1.0 (HCA)
23,HALO,TIER_3,87.06,558.28,1.6845,87.7312,15.78,1.0 (HCA)
24,BSVN,TIER_3,86.75,544.58,1.6432,89.3744,16.18,1.0 (HCA)
25,STLD,TIER_3,86.6,532.65,1.6072,90.9816,16.54,1.0 (HCA)
26,AGEN,TIER_3,86.57,522.13,1.5755,92.5571,16.87,1.0 (HCA)
27,YELP,TIER_3,86.43,511.54,1.5435,94.1006,17.22,1.0 (HCA)
28,DVN,TIER_3,86.42,502.26,1.5155,95.6161,17.54,1.0 (HCA)
29,UTHR,TIER_3,86.36,493.19,1.4881,97.1043,17.87,1.0 (HCA)
30,ANIP,TIER_3,86.22,484.11,1.4607,98.5650,18.20,1.0 (HCA)
31,AZZ,TIER_3,86.1,475.58,1.4350,100.0000,18.53,1.0 (HCA)
