symbol,snapshot_date,ess_numeric,ess_direction,zacks_direction,jefferson_direction,mclean_direction,signal_pattern,has_conflict,forward_return_30d,forward_return_60d,benchmark_return_30d,winner_loser,ess_correct
AAMI,2025-08-18,9.5,BULLISH,BULLISH,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_FULL_AGREE,False,0.011295,-0.030337,0.023657,NEUTRAL,False
AB,2025-08-18,9.8,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.053452,-0.029696,0.023657,LOSER,False
ABBV,2025-08-18,9.4,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.068935,0.119354,0.023657,WINNER,True
ABCB,2025-08-18,8.8,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.05687,0.011987,0.023657,WINNER,True
ABG,2025-08-18,9.0,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.009899,0.013725,0.023657,NEUTRAL,False
ABT,2025-08-18,8.4,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.029938,-0.008892,0.023657,NEUTRAL,False
ACA,2025-08-18,8.8,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.034355,-0.037551,0.023657,LOSER,False
ACEL,2025-08-18,8.6,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.017873,-0.081323,0.023657,LOSER,False
ACIW,2025-08-18,9.0,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.053122,0.031746,0.023657,WINNER,True
ACM,2025-08-18,9.7,BULLISH,NEUTRAL,BULLISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.054955,0.090217,0.023657,WINNER,True
ACMR,2025-08-18,7.8,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.341812,0.513116,0.023657,WINNER,True
ACN,2025-08-18,9.2,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.03167,-0.04311,0.023657,LOSER,False
ACRE,2025-08-18,7.5,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.093607,0.056184,0.023657,WINNER,True
ACT,2025-08-18,9.3,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.012339,-0.046942,0.023657,NEUTRAL,False
ACU,2025-08-18,7.4,BULLISH,NEUTRAL,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.010926,-0.047139,0.023657,NEUTRAL,False
ADBE,2025-08-18,9.3,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.01352,-0.067126,0.023657,NEUTRAL,False
ADEA,2025-08-18,9.2,BULLISH,BULLISH,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_MIXED,False,0.043083,0.10022,0.023657,NEUTRAL,False
ADM,2025-08-18,9.2,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.03258,0.070442,0.023657,NEUTRAL,False
ADMA,2025-08-18,9.0,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.117413,-0.185479,0.023657,LOSER,False
ADNT,2025-08-18,7.9,BULLISH,BULLISH,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,True,0.060278,-0.010408,0.023657,WINNER,True
ADT,2025-08-18,9.7,BULLISH,BULLISH,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.001783,0.002946,0.023657,LOSER,False
AEE,2025-08-18,7.9,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.002723,0.063278,0.023657,LOSER,False
AEIS,2025-08-18,7.9,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.030426,0.253699,0.023657,NEUTRAL,False
AEM,2025-08-18,8.2,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.150672,0.31058,0.023657,WINNER,True
AEP,2025-08-18,8.3,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.028726,0.061698,0.023657,LOSER,False
AES,2025-08-18,7.1,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.063623,0.091317,0.023657,LOSER,False
AGX,2025-08-18,8.3,BULLISH,NEUTRAL,BEARISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,True,0.062578,0.260163,0.023657,WINNER,True
AHCO,2025-08-18,8.1,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.050107,-0.025586,0.023657,LOSER,False
AIR,2025-08-18,8.5,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.013069,0.095842,0.023657,LOSER,False
