rank,symbol,narrative_tier,current_weight_pct,market_value,deployment_score,headroom_pct,signal_c,replay_c,conviction_c,sizing_c,momentum_c,redundancy_pen,conc_pen
1,VRT,CORE_CONVICTION_LEADER,3.7384,17786.45,95.35,37.7,27.33,20.0,35.0,3.02,10.0,0.0,0.0
2,ARW,HIGH_CONVICTION_ANCHOR,0.9143,4350.2,94.11,84.8,29.33,20.0,28.0,6.78,10.0,0.0,0.0
3,ATLC,HIGH_CONVICTION_ANCHOR,0.8682,4130.5,93.51,85.5,28.67,20.0,28.0,6.84,10.0,0.0,0.0
4,SNX,HIGH_CONVICTION_ANCHOR,0.9097,4328.0,93.46,84.8,28.67,20.0,28.0,6.79,10.0,0.0,0.0
5,PSX,HIGH_CONVICTION_ANCHOR,0.7577,3604.8,93.32,87.4,28.33,20.0,28.0,6.99,10.0,0.0,0.0
6,CBOE,HIGH_CONVICTION_ANCHOR,0.6326,3009.9,93.16,89.5,28.0,20.0,28.0,7.16,10.0,0.0,0.0
7,AVT,HIGH_CONVICTION_ANCHOR,0.9138,4347.5,92.11,84.8,27.33,20.0,28.0,6.78,10.0,0.0,0.0
8,LRCX,HIGH_CONVICTION_ANCHOR,0.9331,4439.68,91.76,84.4,27.0,20.0,28.0,6.76,10.0,0.0,0.0
9,CAH,HIGH_CONVICTION_ANCHOR,1.0254,4878.75,91.63,82.9,27.0,20.0,28.0,6.63,10.0,0.0,0.0
10,SANM,HIGH_CONVICTION_ANCHOR,0.6681,3178.56,90.78,88.9,25.67,20.0,28.0,7.11,10.0,0.0,0.0
11,PCB,HIGH_CONVICTION_ANCHOR,0.9237,4394.68,90.77,84.6,26.0,20.0,28.0,6.77,10.0,0.0,0.0
12,DELL,HIGH_CONVICTION_ANCHOR,1.469,6989.4,90.71,75.5,26.67,20.0,28.0,6.04,10.0,0.0,0.0
13,CIEN,HIGH_CONVICTION_ANCHOR,1.1972,5696.1,90.07,80.0,25.67,20.0,28.0,6.4,10.0,0.0,0.0
14,NUE,HIGH_CONVICTION_ANCHOR,0.7929,3772.35,89.61,86.8,24.67,20.0,28.0,6.94,10.0,0.0,0.0
15,GFF,HIGH_CONVICTION_ANCHOR,0.3581,1703.6,88.52,94.0,23.0,20.0,28.0,7.52,10.0,0.0,0.0
16,ALNT,HIGH_CONVICTION_ANCHOR,0.1746,830.8,88.44,97.1,22.67,20.0,28.0,7.77,10.0,0.0,0.0
17,MTZ,HIGH_CONVICTION_ANCHOR,0.2283,1086.27,88.37,96.2,22.67,20.0,28.0,7.7,10.0,0.0,0.0
18,CRS,HIGH_CONVICTION_ANCHOR,0.1023,486.93,88.19,98.3,22.33,20.0,28.0,7.86,10.0,0.0,0.0
19,CMCO,HIGH_CONVICTION_ANCHOR,0.0327,155.7,87.96,99.5,22.0,20.0,28.0,7.96,10.0,0.0,0.0
20,ANGO,HIGH_CONVICTION_ANCHOR,0.7842,3731.22,87.95,86.9,23.0,20.0,28.0,6.95,10.0,0.0,0.0
