weight_pct,market_value,score,rank,sizing_c,conc_pen,headroom_pct,headroom_usd,deployable
3.0,14273.38,96.33,1,4.0,0.0,50.0,14273.38,True
3.5,16652.28,95.66,1,3.33,0.0,41.7,11894.49,True
4.0,19031.18,95.0,1,2.67,0.0,33.3,9515.59,True
4.5,21410.07,94.33,1,2.0,0.0,25.0,7136.69,True
5.0,23788.97,93.66,2,1.33,0.0,16.7,4757.79,True
5.5,26167.87,93.0,6,0.67,0.0,8.3,2378.9,True
6.0,28546.77,92.33,6,0.0,0.0,0.0,0.0,False
6.5,30925.66,90.33,12,0.0,2.0,0.0,0.0,False
7.0,33304.56,88.33,17,0.0,4.0,0.0,0.0,False
7.5,35683.46,86.33,29,0.0,6.0,0.0,0.0,False
8.0,38062.35,84.33,31,0.0,8.0,0.0,0.0,False
8.5,40441.25,82.33,32,0.0,10.0,0.0,0.0,False
9.0,42820.15,80.33,34,0.0,12.0,0.0,0.0,False
9.5,45199.04,78.33,34,0.0,14.0,0.0,0.0,False
10.0,47577.94,76.33,35,0.0,16.0,0.0,0.0,False
10.5,49956.84,74.33,38,0.0,18.0,0.0,0.0,False
