symbol,days_observed,days_span,first_observed,last_observed,days_top10pct,days_top5pct,days_top1pct,persistence_rate_pct,current_streak_top10,longest_streak_top10,current_rank_pct,avg_composite_score,current_composite_score,first_top10,first_top5,first_top1,avg_ess_score,current_ess_text,ess_obs_count,ess_volatility,avg_zacks_score,current_zacks_score,zacks_obs_count,zacks_volatility,avg_danelfin_score,current_danelfin_score,danelfin_obs_count,danelfin_volatility,rank_volatility,sss,persistence_score,leadership_class
KLAC,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,4.83,3.908,4.5556,2025-05-13,2025-05-13,,4.98,VERY_BULLISH,34,0.065,4.0,4.0,2,0.0,4.0,4.0,3,0.0,0.886,98.9,99.78,A_PERSISTENT_LEADER
TNK,10,384,2025-05-13,2026-06-01,10,10,5,100.0,10,10,2.13,3.9813,4.8333,2025-05-13,2025-05-13,2025-05-13,4.97,VERY_BULLISH,29,0.186,5.0,5.0,2,0.0,4.0,4.0,3,0.0,0.494,97.9,99.58,A_PERSISTENT_LEADER
SHBI,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,1.93,3.9924,4.8889,2025-05-13,2025-05-13,,4.89,VERY_BULLISH,26,0.295,5.0,5.0,2,0.0,4.0,4.0,3,0.0,0.254,96.9,99.38,A_PERSISTENT_LEADER
FFIV,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,4.41,3.9368,4.6111,2025-05-13,2025-05-13,,4.89,VERY_BULLISH,29,0.265,4.0,4.0,2,0.0,4.0,4.0,3,0.0,1.506,96.6,99.32,A_PERSISTENT_LEADER
SRCE,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,4.76,3.908,4.5556,2025-05-13,2025-05-13,,4.56,VERY_BULLISH,28,0.48,4.0,4.0,2,0.0,4.0,4.0,3,0.0,1.379,94.5,98.9,A_PERSISTENT_LEADER
IMKTA,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,3.05,3.9508,4.7692,2025-05-13,2025-05-13,,4.41,VERY_BULLISH,32,0.539,,,0,0.0,4.0,4.0,3,0.0,0.725,94.2,98.84,A_PERSISTENT_LEADER
SNX,10,384,2025-05-13,2026-06-01,10,10,2,100.0,10,10,2.59,4.0433,4.7778,2025-05-13,2025-05-13,2026-05-20,4.96,VERY_BULLISH,34,0.598,5.0,5.0,3,0.0,3.0,3.0,3,0.0,0.873,93.6,98.72,A_PERSISTENT_LEADER
TREE,10,384,2025-05-13,2026-06-01,10,10,5,100.0,10,10,2.51,3.9348,4.7778,2025-05-13,2025-05-13,2025-05-13,4.34,VERY_BULLISH,33,0.686,5.0,5.0,2,0.0,3.0,3.0,3,0.0,1.136,92.6,98.52,A_PERSISTENT_LEADER
VMI,10,384,2025-05-13,2026-06-01,10,10,5,100.0,10,10,4.72,3.908,4.5556,2025-05-13,2025-05-13,2025-05-13,4.63,VERY_BULLISH,26,0.667,4.0,4.0,2,0.0,4.0,4.0,3,0.0,1.688,92.5,98.5,A_PERSISTENT_LEADER
LYB,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,3.4,3.9237,4.7222,2025-05-13,2025-05-13,,3.53,BULLISH,17,0.874,5.0,5.0,2,0.0,3.0,3.0,3,0.0,0.239,91.1,98.22,A_PERSISTENT_LEADER
RBB,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,1.97,3.9747,4.8889,2025-05-13,2025-05-13,,3.98,VERY_BULLISH,18,0.909,5.0,5.0,2,0.0,4.0,4.0,3,0.0,0.178,90.8,98.16,A_PERSISTENT_LEADER
FLEX,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,2.24,3.9459,4.8333,2025-05-13,2025-05-13,,4.83,VERY_BULLISH,34,0.367,5.0,5.0,2,0.0,3.33,4.0,3,0.577,0.98,90.1,98.02,A_PERSISTENT_LEADER
STNG,10,384,2025-05-13,2026-06-01,10,10,2,100.0,10,10,3.67,4.0443,4.7143,2025-05-13,2025-05-13,2026-05-20,3.7,VERY_BULLISH,16,0.939,5.0,5.0,1,0.0,4.0,4.0,1,0.0,1.402,89.9,97.98,A_PERSISTENT_LEADER
FBIZ,10,384,2025-05-13,2026-06-01,10,10,2,100.0,10,10,4.45,3.9545,4.6111,2025-05-13,2025-05-13,2026-05-20,4.65,VERY_BULLISH,29,0.448,4.0,4.0,2,0.0,4.67,4.0,3,0.577,1.803,88.8,97.76,A_PERSISTENT_LEADER
MYRG,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,2.01,3.9747,4.8889,2025-05-13,2025-05-13,,5.18,VERY_BULLISH,29,1.163,5.0,5.0,2,0.0,4.0,4.0,3,0.0,0.63,88.1,97.62,A_PERSISTENT_LEADER
MPC,10,384,2025-05-13,2026-06-01,10,10,0,100.0,10,10,2.67,3.9348,4.7778,2025-05-13,2025-05-13,,4.48,VERY_BULLISH,26,0.538,4.5,5.0,2,0.707,3.0,3.0,3,0.0,0.441,87.3,97.46,A_PERSISTENT_LEADER
NGVC,10,384,2025-05-13,2026-06-01,10,9,0,100.0,10,10,3.71,3.9,4.6923,2025-05-13,2025-05-13,,4.9,BULLISH,29,0.409,,,0,0.0,3.0,3.0,3,0.0,0.933,95.4,97.08,A_PERSISTENT_LEADER
SNDK,10,384,2025-05-13,2026-06-01,10,9,0,100.0,10,10,3.13,3.906,4.7222,2025-05-13,2025-05-13,,4.3,VERY_BULLISH,25,0.448,5.0,5.0,2,0.0,3.0,3.0,3,0.0,1.564,94.7,96.94,A_PERSISTENT_LEADER
VLO,10,384,2025-05-13,2026-06-01,10,10,5,100.0,10,10,2.47,3.9348,4.7778,2025-05-13,2025-05-13,2025-05-13,4.84,VERY_BULLISH,23,1.727,5.0,5.0,2,0.0,3.0,3.0,3,0.0,1.23,82.1,96.42,A_PERSISTENT_LEADER
SU,10,384,2025-05-13,2026-06-01,10,10,2,100.0,10,10,3.87,3.9656,4.6667,2025-05-13,2025-05-13,2026-05-20,4.65,VERY_BULLISH,34,1.056,4.5,4.0,2,0.707,5.0,5.0,3,0.0,1.223,81.8,96.36,A_PERSISTENT_LEADER
PSX,10,384,2025-05-13,2026-06-01,10,10,2,100.0,10,10,3.21,4.0167,4.7222,2025-05-13,2025-05-13,2026-05-20,4.8,VERY_BULLISH,21,3.092,5.0,5.0,3,0.0,3.0,3.0,3,0.0,1.112,79.4,95.88,A_PERSISTENT_LEADER
UTL,10,384,2025-05-13,2026-06-01,10,8,5,100.0,10,10,6.5,3.8636,4.3333,2025-05-13,2025-05-13,2025-05-13,5,VERY_BULLISH,23,0.0,3.0,3.0,2,0.0,4.0,4.0,3,0.0,2.34,98.8,95.76,A_PERSISTENT_LEADER
TXN,10,384,2025-05-13,2026-06-01,10,10,5,100.0,10,10,1.82,4.0035,4.9444,2025-05-13,2025-05-13,2025-05-13,5.25,VERY_BULLISH,26,1.763,5.0,5.0,2,0.0,4.67,5.0,3,0.577,0.444,76.4,95.28,A_PERSISTENT_LEADER
WAFD,10,384,2025-05-13,2026-06-01,10,8,5,100.0,10,10,5.26,3.8792,4.5,2025-05-13,2025-05-13,2025-05-13,4.51,BULLISH,24,0.588,4.0,4.0,2,0.0,3.0,3.0,3,0.0,2.093,93.1,94.62,A_PERSISTENT_LEADER
FET,10,384,2025-05-13,2026-06-01,10,8,0,100.0,10,10,6.88,3.8813,4.3333,2025-05-13,2025-05-13,,4.44,NEUTRAL,25,0.768,3.0,3.0,2,0.0,4.0,4.0,3,0.0,2.009,91.3,94.26,A_PERSISTENT_LEADER
FTI,10,384,2025-05-13,2026-06-01,10,8,2,100.0,10,10,6.84,3.899,4.3333,2025-05-13,2025-05-13,2026-05-20,4.89,VERY_BULLISH,33,0.273,3.0,3.0,2,0.0,4.33,4.0,3,0.577,2.224,90.4,94.08,A_PERSISTENT_LEADER
MU,10,384,2025-05-13,2026-06-01,10,10,3,100.0,10,10,3.29,4.0867,4.7222,2025-05-13,2025-05-13,2026-05-15,8.86,VERY_BULLISH,33,16.177,4.75,5.0,4,0.5,2.75,3.0,4,0.5,1.565,69.2,93.84,A_PERSISTENT_LEADER
OTTR,10,384,2025-05-13,2026-06-01,10,8,0,100.0,10,10,7.39,3.8348,4.2778,2025-05-13,2025-05-13,,4.2,VERY_BULLISH,33,0.433,3.0,3.0,2,0.0,3.33,4.0,3,0.577,1.907,88.9,93.78,A_PERSISTENT_LEADER
