symbol,sss,ess_volatility,zacks_volatility,danelfin_volatility,rank_volatility,persistence_rate_pct,leadership_class,avg_ess_score,avg_zacks_score,avg_danelfin_score,days_observed,current_rank_pct
KLAC,98.9,0.065,0.0,0.0,0.886,100.0,A_PERSISTENT_LEADER,4.98,4.0,4.0,10,4.83
TNK,97.9,0.186,0.0,0.0,0.494,100.0,A_PERSISTENT_LEADER,4.97,5.0,4.0,10,2.13
SHBI,96.9,0.295,0.0,0.0,0.254,100.0,A_PERSISTENT_LEADER,4.89,5.0,4.0,10,1.93
FFIV,96.6,0.265,0.0,0.0,1.506,100.0,A_PERSISTENT_LEADER,4.89,4.0,4.0,10,4.41
SRCE,94.5,0.48,0.0,0.0,1.379,100.0,A_PERSISTENT_LEADER,4.56,4.0,4.0,10,4.76
IMKTA,94.2,0.539,0.0,0.0,0.725,100.0,A_PERSISTENT_LEADER,4.41,,4.0,10,3.05
SNX,93.6,0.598,0.0,0.0,0.873,100.0,A_PERSISTENT_LEADER,4.96,5.0,3.0,10,2.59
TREE,92.6,0.686,0.0,0.0,1.136,100.0,A_PERSISTENT_LEADER,4.34,5.0,3.0,10,2.51
VMI,92.5,0.667,0.0,0.0,1.688,100.0,A_PERSISTENT_LEADER,4.63,4.0,4.0,10,4.72
LYB,91.1,0.874,0.0,0.0,0.239,100.0,A_PERSISTENT_LEADER,3.53,5.0,3.0,10,3.4
RBB,90.8,0.909,0.0,0.0,0.178,100.0,A_PERSISTENT_LEADER,3.98,5.0,4.0,10,1.97
FLEX,90.1,0.367,0.0,0.577,0.98,100.0,A_PERSISTENT_LEADER,4.83,5.0,3.33,10,2.24
STNG,89.9,0.939,0.0,0.0,1.402,100.0,A_PERSISTENT_LEADER,3.7,5.0,4.0,10,3.67
FBIZ,88.8,0.448,0.0,0.577,1.803,100.0,A_PERSISTENT_LEADER,4.65,4.0,4.67,10,4.45
MYRG,88.1,1.163,0.0,0.0,0.63,100.0,A_PERSISTENT_LEADER,5.18,5.0,4.0,10,2.01
MPC,87.3,0.538,0.707,0.0,0.441,100.0,A_PERSISTENT_LEADER,4.48,4.5,3.0,10,2.67
NGVC,95.4,0.409,0.0,0.0,0.933,100.0,A_PERSISTENT_LEADER,4.9,,3.0,10,3.71
SNDK,94.7,0.448,0.0,0.0,1.564,100.0,A_PERSISTENT_LEADER,4.3,5.0,3.0,10,3.13
VLO,82.1,1.727,0.0,0.0,1.23,100.0,A_PERSISTENT_LEADER,4.84,5.0,3.0,10,2.47
SU,81.8,1.056,0.707,0.0,1.223,100.0,A_PERSISTENT_LEADER,4.65,4.5,5.0,10,3.87
PSX,79.4,3.092,0.0,0.0,1.112,100.0,A_PERSISTENT_LEADER,4.8,5.0,3.0,10,3.21
UTL,98.8,0.0,0.0,0.0,2.34,100.0,A_PERSISTENT_LEADER,5,3.0,4.0,10,6.5
TXN,76.4,1.763,0.0,0.577,0.444,100.0,A_PERSISTENT_LEADER,5.25,5.0,4.67,10,1.82
WAFD,93.1,0.588,0.0,0.0,2.093,100.0,A_PERSISTENT_LEADER,4.51,4.0,3.0,10,5.26
FET,91.3,0.768,0.0,0.0,2.009,100.0,A_PERSISTENT_LEADER,4.44,3.0,4.0,10,6.88
FTI,90.4,0.273,0.0,0.577,2.224,100.0,A_PERSISTENT_LEADER,4.89,3.0,4.33,10,6.84
MU,69.2,16.177,0.5,0.5,1.565,100.0,A_PERSISTENT_LEADER,8.86,4.75,2.75,10,3.29
OTTR,88.9,0.433,0.0,0.577,1.907,100.0,A_PERSISTENT_LEADER,4.2,3.0,3.33,10,7.39
VSNT,98.6,0.0,0.0,0.0,2.723,100.0,A_PERSISTENT_LEADER,5,5.0,2.0,10,3.75
LFUS,87.3,0.533,0.707,0.0,0.656,100.0,A_PERSISTENT_LEADER,4.33,4.5,3.0,10,5.38
LRCX,97.0,0.198,0.0,0.0,2.12,100.0,A_PERSISTENT_LEADER,4.94,4.0,3.0,10,5.34
RCKY,96.7,0.268,0.0,0.0,1.321,100.0,A_PERSISTENT_LEADER,4.93,,3.0,7,4.71
RNR,96.5,0.219,0.0,0.0,2.69,100.0,A_PERSISTENT_LEADER,4.92,3.0,3.0,10,8.24
FUNC,95.9,0.338,0.0,0.0,1.529,100.0,A_PERSISTENT_LEADER,4.85,,4.0,7,1.36
