symbol,persistence_score,persistence_rate_pct,days_observed,days_top10pct,days_top5pct,days_top1pct,longest_streak_top10,current_streak_top10,current_rank_pct,avg_ess_score,current_ess_text,avg_zacks_score,current_zacks_score,avg_danelfin_score,current_danelfin_score,avg_composite_score,current_composite_score,sss,leadership_class
KLAC,99.78,100.0,10,10,10,0,10,10,4.83,4.98,VERY_BULLISH,4.0,4.0,4.0,4.0,3.908,4.5556,98.9,A_PERSISTENT_LEADER
TNK,99.58,100.0,10,10,10,5,10,10,2.13,4.97,VERY_BULLISH,5.0,5.0,4.0,4.0,3.9813,4.8333,97.9,A_PERSISTENT_LEADER
SHBI,99.38,100.0,10,10,10,0,10,10,1.93,4.89,VERY_BULLISH,5.0,5.0,4.0,4.0,3.9924,4.8889,96.9,A_PERSISTENT_LEADER
FFIV,99.32,100.0,10,10,10,0,10,10,4.41,4.89,VERY_BULLISH,4.0,4.0,4.0,4.0,3.9368,4.6111,96.6,A_PERSISTENT_LEADER
SRCE,98.9,100.0,10,10,10,0,10,10,4.76,4.56,VERY_BULLISH,4.0,4.0,4.0,4.0,3.908,4.5556,94.5,A_PERSISTENT_LEADER
IMKTA,98.84,100.0,10,10,10,0,10,10,3.05,4.41,VERY_BULLISH,,,4.0,4.0,3.9508,4.7692,94.2,A_PERSISTENT_LEADER
SNX,98.72,100.0,10,10,10,2,10,10,2.59,4.96,VERY_BULLISH,5.0,5.0,3.0,3.0,4.0433,4.7778,93.6,A_PERSISTENT_LEADER
TREE,98.52,100.0,10,10,10,5,10,10,2.51,4.34,VERY_BULLISH,5.0,5.0,3.0,3.0,3.9348,4.7778,92.6,A_PERSISTENT_LEADER
VMI,98.5,100.0,10,10,10,5,10,10,4.72,4.63,VERY_BULLISH,4.0,4.0,4.0,4.0,3.908,4.5556,92.5,A_PERSISTENT_LEADER
LYB,98.22,100.0,10,10,10,0,10,10,3.4,3.53,BULLISH,5.0,5.0,3.0,3.0,3.9237,4.7222,91.1,A_PERSISTENT_LEADER
RBB,98.16,100.0,10,10,10,0,10,10,1.97,3.98,VERY_BULLISH,5.0,5.0,4.0,4.0,3.9747,4.8889,90.8,A_PERSISTENT_LEADER
FLEX,98.02,100.0,10,10,10,0,10,10,2.24,4.83,VERY_BULLISH,5.0,5.0,3.33,4.0,3.9459,4.8333,90.1,A_PERSISTENT_LEADER
STNG,97.98,100.0,10,10,10,2,10,10,3.67,3.7,VERY_BULLISH,5.0,5.0,4.0,4.0,4.0443,4.7143,89.9,A_PERSISTENT_LEADER
FBIZ,97.76,100.0,10,10,10,2,10,10,4.45,4.65,VERY_BULLISH,4.0,4.0,4.67,4.0,3.9545,4.6111,88.8,A_PERSISTENT_LEADER
MYRG,97.62,100.0,10,10,10,0,10,10,2.01,5.18,VERY_BULLISH,5.0,5.0,4.0,4.0,3.9747,4.8889,88.1,A_PERSISTENT_LEADER
MPC,97.46,100.0,10,10,10,0,10,10,2.67,4.48,VERY_BULLISH,4.5,5.0,3.0,3.0,3.9348,4.7778,87.3,A_PERSISTENT_LEADER
NGVC,97.08,100.0,10,10,9,0,10,10,3.71,4.9,BULLISH,,,3.0,3.0,3.9,4.6923,95.4,A_PERSISTENT_LEADER
SNDK,96.94,100.0,10,10,9,0,10,10,3.13,4.3,VERY_BULLISH,5.0,5.0,3.0,3.0,3.906,4.7222,94.7,A_PERSISTENT_LEADER
VLO,96.42,100.0,10,10,10,5,10,10,2.47,4.84,VERY_BULLISH,5.0,5.0,3.0,3.0,3.9348,4.7778,82.1,A_PERSISTENT_LEADER
SU,96.36,100.0,10,10,10,2,10,10,3.87,4.65,VERY_BULLISH,4.5,4.0,5.0,5.0,3.9656,4.6667,81.8,A_PERSISTENT_LEADER
PSX,95.88,100.0,10,10,10,2,10,10,3.21,4.8,VERY_BULLISH,5.0,5.0,3.0,3.0,4.0167,4.7222,79.4,A_PERSISTENT_LEADER
UTL,95.76,100.0,10,10,8,5,10,10,6.5,5,VERY_BULLISH,3.0,3.0,4.0,4.0,3.8636,4.3333,98.8,A_PERSISTENT_LEADER
TXN,95.28,100.0,10,10,10,5,10,10,1.82,5.25,VERY_BULLISH,5.0,5.0,4.67,5.0,4.0035,4.9444,76.4,A_PERSISTENT_LEADER
WAFD,94.62,100.0,10,10,8,5,10,10,5.26,4.51,BULLISH,4.0,4.0,3.0,3.0,3.8792,4.5,93.1,A_PERSISTENT_LEADER
FET,94.26,100.0,10,10,8,0,10,10,6.88,4.44,NEUTRAL,3.0,3.0,4.0,4.0,3.8813,4.3333,91.3,A_PERSISTENT_LEADER
