symbol,rank,score,signal,replay,conviction,sizing,momentum,redundancy_pen,conc_pen,tier,allocation_node,node_ow_severity,node_drift_pct,notes
DELL,1,99.33,28.33,20.0,35.0,6.00,10.0,0.0,0.0,CORE_CONVICTION_LEADER,EQUITIES.US.LARGE,UNDERWEIGHT,-5.26,"CCL; US.LARGE is 5.26% UW — no OW penalty; max sizing headroom"
VRT,2,94.72,27.33,20.0,35.0,2.39,10.0,0.0,0.0,CORE_CONVICTION_LEADER,EQUITIES.US.LARGE,UNDERWEIGHT,-5.26,"CCL; large existing position reduces sizing; node UW = no penalty"
ARW,3,93.77,29.33,20.0,28.0,6.43,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.SMALL,LOW_OW,+3.26,"HCA; US.SMALL is +3.26% OW (LOW severity) — NO penalty applied"
PSX,4,93.38,28.67,20.0,28.0,6.71,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MID,UNDERWEIGHT,-5.43,"HCA; US.MID is 5.43% UW — no penalty; high sizing headroom"
AVT,5,91.91,27.33,20.0,28.0,6.57,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.SMALL,LOW_OW,+3.26,"HCA; US.SMALL +3.26% OW (LOW) — NO penalty applied"
ATLC,6,91.74,27.00,20.0,28.0,6.74,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MICRO,LOW_OW,+2.00,"HCA; US.MICRO +2.00% OW (LOW) — NO penalty applied"
CAH,8,91.42,27.00,20.0,28.0,6.42,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MID,UNDERWEIGHT,-5.43,"HCA; US.MID UW — no penalty"
PCB,9,90.64,26.00,20.0,28.0,6.64,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MICRO,LOW_OW,+2.00,"HCA; US.MICRO +2.00% OW (LOW) — NO penalty applied"
SNX,10,89.94,25.33,20.0,28.0,6.60,10.0,0.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MID,UNDERWEIGHT,-5.43,"HCA; US.MID UW — no penalty"
GTX,22,84.13,29.33,20.0,28.0,6.80,15.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.INTERNATIONAL.SMALL,MODERATE_OW,+5.26,"International node MODERATE OW — full −15 redundancy penalty applied"
CVE,23,83.85,28.00,20.0,28.0,6.85,15.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.INTERNATIONAL.MID,MODERATE_OW,+5.26,"International node MODERATE OW — full −15 redundancy penalty"
ASML,25,78.02,27.00,20.0,28.0,6.00,20.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.INTERNATIONAL.MEGA,MODERATE_OW,+5.26,"International node MODERATE OW + ULTRA_MEGA subnode OW — penalty"
MU,26,76.96,27.33,20.0,28.0,6.63,10.0,15.0,1.04,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MEGA,MODERATE_OW,+4.43,"MEGA node MODERATE OW — redundancy penalty + small conc penalty"
MSFT,27,74.14,27.00,20.0,28.0,6.14,8.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MEGA,MODERATE_OW,+4.43,"MEGA node MODERATE OW — redundancy penalty applied"
AVGO,28,72.16,27.00,20.0,28.0,2.16,10.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MEGA,MODERATE_OW,+4.43,"MEGA node MODERATE OW + large position reduces sizing"
TSM,29,70.77,27.00,20.0,28.0,5.77,10.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.INTERNATIONAL.MEGA,MODERATE_OW,+5.26,"International node MODERATE OW — penalty"
NVDA,30,69.72,25.00,20.0,28.0,6.72,10.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.US.MEGA,MODERATE_OW,+4.43,"MEGA node MODERATE OW — penalty"
SBS,31,69.27,22.33,20.0,28.0,6.94,12.0,15.0,0.0,HIGH_CONVICTION_ANCHOR,EQUITIES.INTERNATIONAL.LARGE,LOW_OW_SUBNODE,+3.64,"International parent MODERATE OW — penalty inherited via node prefix match"
