lineage_id,snapshot_date,created_at_utc,run_id,provider,source_file,symbol,coverage_domain,normalization_version,lineage_notes
RUN-REAL-ESS-20260513-002:2026-05-13:SRCE:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,SRCE,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:ACEL:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,ACEL,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:ADUS:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,ADUS,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AGEN:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AGEN,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AKAM:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AKAM,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:ALNT:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,ALNT,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AMCX:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AMCX,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:APEI:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,APEI,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AWR:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AWR,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AME:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AME,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
RUN-REAL-ESS-20260513-002:2026-05-13:AMN:STARMINE_COVERED,2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AMN,STARMINE_COVERED,2,Immutable partition append from ESS normalization output; numeric provenance preserved.
