symbol,company_name,security_type,geography,market_cap_raw_usd,market_cap_bucket,coverage_domain,starmine_ess_text,provider,source_file,snapshot_date,created_at_utc,run_id
SRCE,1st Source Corp,Common Stock,UNKNOWN,1740000000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
ACEL,Accel Entertainment Inc,Common Stock,UNKNOWN,933580000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
ADUS,Addus HomeCare Corp,Common Stock,UNKNOWN,1840000000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AGEN,Agenus Inc/DE,Common Stock,UNKNOWN,143250000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AKAM,Akamai Technologies Inc,Common Stock,UNKNOWN,21740000000,MID,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
ALNT,Allient Inc,Common Stock,UNKNOWN,1070000000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AMCX,AMC Global Media Inc,Common Stock,UNKNOWN,354940000,MICRO,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
APEI,American Public Education Inc,Common Stock,UNKNOWN,972180000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AWR,American States Water Co,Common Stock,UNKNOWN,3040000000,MICRO,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AME,AMETEK Inc,Common Stock,UNKNOWN,52990000000,MID,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AMN,AMN Healthcare Services Inc.,Common Stock,UNKNOWN,1140000000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
ADI,Analog Devices Inc,Common Stock,UNKNOWN,204870000000,LARGE,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
ANAB,AnaptysBio Inc,Common Stock,UNKNOWN,1910000000,MICRO,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
APA,APA Corporation,Common Stock,UNKNOWN,13110000000,SMALL,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AAPL,Apple Inc,Common Stock,UNKNOWN,4330000000000,MEGA,STARMINE_COVERED,BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
AMAT,Applied Materials Inc,Common Stock,UNKNOWN,342200000000,LARGE,STARMINE_COVERED,VERY_BULLISH,FIDELITY,SecurityExtract_ESS_2026May13.csv,2026-05-13,2026-05-13T15:28:42.873928+00:00,RUN-REAL-ESS-20260513-002
