metric,before,after,delta,delta_pct
# === Concentration metrics ===
hhi,924.63,504.74,-419.89,-45.41%
effective_n,10.82,19.81,+8.99,+83.09%
top1_pct,26.59,14.46,-12.13,-45.62%
top3_pct,37.77,27.49,-10.28,-27.22%
r1_r2_ratio,4.30,2.01,-2.29,-53.26%
# === Per-symbol allocations (USD) ===
vrt_alloc,8810.94,4791.11,-4019.83,-45.62%
arw_alloc,2046.75,2384.91,+338.16,+16.52%
snx_alloc,1659.80,1934.03,+274.23,+16.52%
atlc_alloc,1437.27,1674.74,+237.47,+16.52%
psx_alloc,1283.89,1496.01,+212.12,+16.52%
cboe_alloc,1168.63,1361.71,+193.08,+16.52%
avt_alloc,1070.79,1247.70,+176.91,+16.52%
lrcx_alloc,997.50,1162.30,+164.80,+16.52%
cah_alloc,939.22,1094.39,+155.17,+16.52%
dell_alloc,884.12,1030.19,+146.07,+16.52%
sanm_alloc,841.77,980.84,+139.07,+16.52%
pcb_alloc,805.66,938.77,+133.11,+16.52%
cien_alloc,768.26,895.19,+126.93,+16.52%
nue_alloc,736.53,858.22,+121.69,+16.52%
gff_alloc,702.74,818.85,+116.11,+16.52%
alnt_alloc,680.04,792.40,+112.36,+16.52%
mtz_alloc,658.99,767.87,+108.88,+16.52%
crs_alloc,639.34,744.97,+105.63,+16.52%
cmco_alloc,620.59,723.12,+102.53,+16.52%
ango_alloc,604.40,704.25,+99.85,+16.52%
fslr_alloc,587.15,684.15,+97.00,+16.52%
uhs_alloc,572.66,667.28,+94.62,+16.52%
halo_alloc,558.28,650.52,+92.24,+16.52%
bsvn_alloc,544.58,634.55,+89.97,+16.52%
stld_alloc,532.65,620.66,+88.01,+16.52%
agen_alloc,522.13,608.39,+86.26,+16.52%
yelp_alloc,511.54,596.06,+84.52,+16.52%
dvn_alloc,502.26,585.25,+82.99,+16.52%
uthr_alloc,493.19,574.67,+81.48,+16.52%
anip_alloc,484.11,564.09,+79.98,+16.52%
azz_alloc,475.58,554.15,+78.57,+16.52%
# === Portfolio-level totals ===
total_deployable,33141.34,33141.34,0.00,0.00%
total_allocated,33141.36,33141.34,-0.02,0.00%
# === Multiplier constants ===
ccl_conviction_mult,3.00,1.75,-1.25,-41.67%
hca_conviction_mult,1.00,1.25,+0.25,+25.00%
