symbol,tier,observation_count,first_seen,last_seen,coverage_days
A,TIER_A,25,2025-10-29,2026-06-01,215
AA,TIER_A,20,2025-10-19,2026-06-01,225
AAL,TIER_A,19,2025-10-29,2026-06-01,215
AAMI,TIER_A,21,2025-08-18,2026-06-01,287
AAOI,TIER_A,17,2026-03-10,2026-06-01,83
AAON,TIER_A,17,2026-03-10,2026-06-01,83
AAP,TIER_A,17,2026-03-10,2026-06-01,83
AAPL,TIER_A,19,2025-10-29,2026-06-01,215
AAT,TIER_A,19,2025-10-19,2026-06-01,225
AB,TIER_A,21,2025-08-18,2026-06-01,287
ABBV,TIER_A,23,2025-08-18,2026-06-01,287
ABCB,TIER_A,24,2025-08-18,2026-06-01,287
ABEO,TIER_A,21,2025-10-19,2026-06-01,225
ABEV,TIER_A,24,2025-10-19,2026-06-01,225
ABG,TIER_A,22,2025-08-18,2026-06-01,287
ABM,TIER_A,19,2025-10-29,2026-06-01,215
ABNB,TIER_A,19,2025-12-11,2026-06-01,172
ABR,TIER_A,21,2025-10-19,2026-06-01,225
ABSI,TIER_C,2,2026-05-26,2026-06-01,6
ABT,TIER_A,19,2025-08-18,2026-06-01,287
ABUS,TIER_A,18,2025-10-29,2026-06-01,215
ABX,TIER_C,3,2026-05-20,2026-06-01,12
ACA,TIER_A,19,2025-08-18,2026-06-01,287
ACAD,TIER_A,19,2025-08-25,2026-06-01,280
ACCO,TIER_A,22,2025-10-29,2026-06-01,215
ACDC,TIER_C,3,2026-05-20,2026-06-01,12
ACEL,TIER_A,19,2025-08-18,2026-05-20,275
ACGL,TIER_A,32,2025-11-18,2026-06-01,195
ACH,TIER_A,17,2026-03-10,2026-06-01,83
ACHR,TIER_A,13,2026-03-10,2026-06-01,83
ACI,TIER_A,18,2026-03-10,2026-06-01,83
ACIC,TIER_C,3,2026-05-20,2026-06-01,12
ACIU,TIER_A,16,2025-10-29,2026-05-20,203
ACIW,TIER_A,22,2025-08-18,2026-06-01,287
ACLS,TIER_A,19,2025-10-29,2026-06-01,215
ACM,TIER_A,23,2025-08-18,2026-06-01,287
ACMR,TIER_A,19,2025-08-18,2026-06-01,287
ACN,TIER_A,24,2025-08-18,2026-06-01,287
ACNB,TIER_A,23,2025-11-18,2026-06-01,195
ACRE,TIER_A,22,2025-08-18,2026-05-20,275
ACRS,TIER_A,17,2026-03-10,2026-06-01,83
ACT,TIER_A,33,2025-08-18,2026-06-01,287
ACTG,TIER_A,17,2026-03-10,2026-06-01,83
ACU,TIER_A,35,2025-08-18,2026-06-01,287
ACVA,TIER_C,3,2026-05-20,2026-06-01,12
AD,TIER_A,17,2026-03-10,2026-06-01,83
ADAM,TIER_A,17,2026-03-10,2026-06-01,83
ADBE,TIER_A,24,2025-08-18,2026-06-01,287
ADC,TIER_A,18,2025-12-11,2026-06-01,172
ADCT,TIER_A,17,2026-03-10,2026-06-01,83
ADEA,TIER_A,22,2025-08-18,2026-06-01,287
ADI,TIER_A,32,2025-10-29,2026-06-01,215
ADM,TIER_A,26,2025-08-18,2026-06-01,287
ADMA,TIER_A,24,2025-08-18,2026-06-01,287
ADNT,TIER_A,20,2025-08-18,2026-06-01,287
ADP,TIER_A,17,2026-03-10,2026-06-01,83
ADPT,TIER_A,15,2026-03-10,2026-05-20,71
ADSK,TIER_A,19,2025-10-29,2026-06-01,215
ADT,TIER_A,25,2025-08-18,2026-06-01,287
