symbol,incoming_file,parsed,snapshot,merged_snapshot,api,first_failure_stage
MU,Y,Y,Y,Y,Y,coverage_validator_logic
FIS,Y,Y,Y,Y,N,api
VRT,Y,Y,Y,Y,Y,coverage_validator_logic
NVDA,Y,Y,Y,Y,Y,coverage_validator_logic
TSLA,Y,Y,Y,Y,Y,coverage_validator_logic
FHI,Y,Y,Y,Y,Y,coverage_validator_logic
CVE,Y,Y,Y,Y,Y,coverage_validator_logic
AEIS,Y,Y,Y,Y,Y,coverage_validator_logic
TSM,Y,Y,Y,Y,Y,coverage_validator_logic
GTX,Y,Y,Y,Y,Y,coverage_validator_logic
KGC,Y,Y,Y,Y,Y,coverage_validator_logic
IVZ,Y,Y,Y,Y,Y,coverage_validator_logic
LMAT,Y,Y,Y,Y,Y,coverage_validator_logic
DELL,Y,Y,Y,Y,Y,coverage_validator_logic
JBL,Y,Y,Y,Y,Y,coverage_validator_logic
AMG,Y,Y,Y,Y,Y,coverage_validator_logic
CIEN,Y,Y,Y,Y,Y,coverage_validator_logic
CAH,Y,Y,Y,Y,Y,coverage_validator_logic
PRIM,Y,Y,Y,Y,Y,coverage_validator_logic
HCI,Y,Y,Y,Y,Y,coverage_validator_logic
LRCX,Y,Y,Y,Y,Y,coverage_validator_logic
PCB,Y,Y,Y,Y,Y,coverage_validator_logic
DVN,Y,Y,Y,Y,Y,coverage_validator_logic
AVGO,Y,Y,Y,Y,Y,coverage_validator_logic
MSFT,Y,Y,Y,Y,Y,coverage_validator_logic
AVT,Y,Y,Y,Y,Y,coverage_validator_logic
ARW,Y,Y,Y,Y,Y,coverage_validator_logic
ATLC,Y,Y,Y,Y,Y,coverage_validator_logic
SNX,Y,Y,Y,Y,Y,coverage_validator_logic
ANIP,Y,Y,Y,Y,Y,coverage_validator_logic
ANGO,Y,Y,Y,Y,Y,coverage_validator_logic
XYZ,Y,Y,Y,Y,Y,coverage_validator_logic
NUE,Y,Y,Y,Y,Y,coverage_validator_logic
PRG,Y,Y,Y,Y,Y,coverage_validator_logic
PSX,Y,Y,Y,Y,Y,coverage_validator_logic
CBOE,Y,Y,Y,Y,Y,coverage_validator_logic
HALO,Y,Y,Y,Y,Y,coverage_validator_logic
ASML,Y,Y,Y,Y,Y,coverage_validator_logic
MKSI,Y,Y,Y,Y,Y,coverage_validator_logic
SANM,Y,Y,Y,Y,Y,coverage_validator_logic
FSLR,Y,Y,Y,Y,Y,coverage_validator_logic
STLD,Y,Y,Y,Y,Y,coverage_validator_logic
AZZ,Y,Y,Y,Y,Y,coverage_validator_logic
GFF,Y,Y,Y,Y,Y,coverage_validator_logic
AMZN,Y,Y,Y,Y,Y,coverage_validator_logic
UHS,Y,Y,Y,Y,Y,coverage_validator_logic
UTHR,Y,Y,Y,Y,Y,coverage_validator_logic
MTZ,Y,Y,Y,Y,Y,coverage_validator_logic
NVS,Y,Y,Y,Y,Y,coverage_validator_logic
YELP,Y,Y,Y,Y,Y,coverage_validator_logic
ALNT,Y,Y,Y,Y,Y,coverage_validator_logic
CRS,Y,Y,Y,Y,Y,coverage_validator_logic
AGEN,Y,Y,Y,Y,Y,coverage_validator_logic
CMCO,Y,Y,Y,Y,Y,coverage_validator_logic
PLTR,Y,Y,Y,Y,Y,coverage_validator_logic
