from_category,to_category,count,probability_pct
VERY_BEARISH,VERY_BEARISH,3236,81.16
VERY_BEARISH,BEARISH,580,14.55
VERY_BEARISH,NEUTRAL,147,3.69
VERY_BEARISH,BULLISH,21,0.53
VERY_BEARISH,VERY_BULLISH,3,0.08
BEARISH,VERY_BEARISH,583,6.24
BEARISH,BEARISH,7490,80.14
BEARISH,NEUTRAL,1082,11.58
BEARISH,BULLISH,171,1.83
BEARISH,VERY_BULLISH,20,0.21
NEUTRAL,VERY_BEARISH,141,0.92
NEUTRAL,BEARISH,1173,7.67
NEUTRAL,NEUTRAL,12380,81.0
NEUTRAL,BULLISH,1362,8.91
NEUTRAL,VERY_BULLISH,228,1.49
BULLISH,VERY_BEARISH,70,0.47
BULLISH,BEARISH,316,2.13
BULLISH,NEUTRAL,1735,11.67
BULLISH,BULLISH,11444,76.99
BULLISH,VERY_BULLISH,1300,8.75
VERY_BULLISH,VERY_BEARISH,13,0.16
VERY_BULLISH,BEARISH,66,0.81
VERY_BULLISH,NEUTRAL,361,4.42
VERY_BULLISH,BULLISH,1453,17.79
VERY_BULLISH,VERY_BULLISH,6273,76.82
