rank_A,rank_B,rank_C,rank_D,symbol,tier,cw_das,composite,ess,replay,weight_pct,pw_A,pw_B,pw_C,pw_D,alloc_A,alloc_B,alloc_C,alloc_D
1,1,1,1,VRT,CCL,95.53,4.5556,VERY_BULLISH,True,3.6019,286.59,191.06,95.53,95.53,10687.22,7981.93,4536.73,1741.40
2,2,2,2,ARW,HCA,94.11,4.8889,VERY_BULLISH,True,0.9169,66.55,66.55,66.55,94.11,2481.56,2780.09,3160.27,1715.51
3,3,3,3,SNX,HCA,93.51,4.7778,VERY_BULLISH,True,0.8646,53.99,53.99,53.99,93.51,2013.27,2255.46,2563.90,1704.58
4,4,4,4,ATLC,HCA,93.48,4.7778,VERY_BULLISH,True,0.8894,46.74,46.74,46.74,93.48,1742.98,1952.66,2219.69,1704.03
5,5,5,5,PSX,HCA,93.34,4.7222,VERY_BULLISH,True,0.7483,41.74,41.74,41.74,93.34,1556.63,1743.90,1982.38,1701.48
6,6,6,6,CBOE,HCA,93.04,4.6667,VERY_BULLISH,True,0.7234,37.98,37.98,37.98,93.04,1416.44,1586.84,1803.84,1696.01
7,7,7,7,AVT,HCA,92.10,4.5556,VERY_BULLISH,True,0.9256,34.81,34.81,34.81,92.10,1298.12,1454.28,1653.16,1678.88
8,8,8,8,LRCX,HCA,91.73,4.5000,VERY_BULLISH,True,0.9540,32.43,32.43,32.43,91.73,1209.40,1354.89,1540.17,1672.13
9,9,9,9,CAH,HCA,91.59,4.5000,VERY_BULLISH,True,1.0561,30.53,30.53,30.53,91.59,1138.49,1275.45,1449.87,1669.58
10,10,10,10,DELL,HCA,90.91,4.4444,VERY_BULLISH,True,1.3176,28.75,28.75,28.75,90.91,1072.05,1201.02,1365.26,1657.18
11,11,11,11,SANM,HCA,90.78,4.2778,BULLISH,True,0.6617,27.37,27.37,27.37,90.78,1020.70,1143.49,1299.86,1654.81
12,12,12,12,PCB,HCA,90.74,4.3333,VERY_BULLISH,True,0.9448,26.19,26.19,26.19,90.74,976.81,1094.32,1243.97,1654.08
13,13,13,13,CIEN,HCA,90.11,4.2778,BULLISH,True,1.1690,24.99,24.99,24.99,90.11,931.98,1044.09,1186.87,1642.60
14,14,14,14,NUE,HCA,89.62,4.1111,BULLISH,True,0.7871,23.95,23.95,23.95,89.62,893.19,1000.64,1137.48,1633.67
15,15,15,15,GFF,HCA,88.50,3.8333,BULLISH,True,0.3740,22.85,22.85,22.85,88.50,852.12,954.63,1085.18,1613.25
16,16,16,16,ALNT,HCA,88.46,3.7778,BULLISH,True,0.1580,22.11,22.11,22.11,88.46,824.69,923.90,1050.24,1612.52
17,17,17,17,MTZ,HCA,88.35,3.7778,BULLISH,True,0.2346,21.43,21.43,21.43,88.35,799.07,895.20,1017.62,1610.52
18,18,18,18,CRS,HCA,88.20,3.7222,BULLISH,True,0.0975,20.79,20.79,20.79,88.20,775.24,868.50,987.27,1607.78
19,19,19,19,CMCO,HCA,87.95,3.6667,BULLISH,True,0.0343,20.18,20.18,20.18,87.95,752.42,842.94,958.21,1603.23
20,20,20,20,ANGO,HCA,87.88,3.8333,BULLISH,True,0.8379,19.65,19.65,19.65,87.88,732.79,820.94,933.21,1601.95
