symbol,cw_rank,cw_score,psr_rank,pss_score,composite_score,current_weight_pct,replay_days,norm_cwdas,norm_pss,blend_A,blend_B,blend_C,blend_D,rank_A,rank_B,rank_C,rank_D,alloc_A,alloc_B,alloc_C,alloc_D,delta_rank_B,delta_rank_C,delta_rank_D,alloc_delta_B,alloc_delta_C,alloc_delta_D
VRT,1,95.50,14,67.44,4.556,3.6241,4,100.00,66.99,100.00,93.40,86.80,83.49,1,1,6,7,8810.94,8810.94,1168.63,1070.79,0,-5,-6,0.00,-7642.31,-7740.15
ARW,2,94.12,11,69.11,4.889,0.9076,4,95.38,72.96,95.38,90.89,86.41,84.17,2,3,7,6,2046.75,1659.80,1070.79,1168.63,-1,-5,-4,-386.95,-975.96,-878.12
SNX,3,93.48,18,66.22,4.778,0.8892,4,93.23,62.63,93.23,87.11,80.99,77.93,3,8,8,11,1659.80,997.50,997.50,841.77,-5,-5,-8,-662.30,-662.30,-818.03
ATLC,4,93.47,3,74.22,4.778,0.9003,261,93.20,91.24,93.20,92.81,92.41,92.22,4,2,1,1,1437.27,2046.75,8810.94,8810.94,2,3,3,609.48,7373.67,7373.67
PSX,5,93.35,27,64.78,4.722,0.7380,4,92.80,57.47,92.80,85.73,78.67,75.14,5,9,10,13,1283.89,939.22,884.12,768.26,-4,-5,-8,-344.67,-399.77,-515.63
CBOE,6,93.08,5,71.33,4.667,0.6937,261,91.89,80.90,91.89,89.69,87.50,86.40,6,5,5,5,1168.63,1283.89,1283.89,1283.89,1,1,1,115.26,115.26,115.26
AVT,7,92.12,2,75.44,4.556,0.9129,261,88.68,95.60,88.68,90.06,91.45,92.14,7,4,2,2,1070.79,1437.27,2046.75,2046.75,3,5,5,366.48,975.96,975.96
LRCX,8,91.74,19,66.00,4.500,0.9470,4,87.40,61.84,87.40,82.29,77.18,74.62,8,10,13,14,997.50,884.12,768.26,736.53,-2,-5,-6,-113.38,-229.24,-260.97
CAH,9,91.62,4,74.00,4.500,1.0353,261,87.00,90.45,87.00,87.69,88.38,88.73,9,6,4,4,939.22,1168.63,1437.27,1437.27,3,5,5,229.41,498.05,498.05
DELL,10,90.91,29,64.56,4.444,1.3195,4,84.62,56.69,84.62,79.04,73.45,70.66,10,12,16,19,884.12,805.66,680.04,620.59,-2,-6,-9,-78.46,-204.08,-263.53
SANM,11,90.78,35,62.22,4.278,0.6663,4,84.19,48.32,84.19,77.01,69.84,66.25,11,14,21,25,841.77,736.53,587.15,532.65,-3,-10,-14,-105.24,-254.62,-309.12
PCB,12,90.75,1,76.67,4.333,0.9362,261,84.09,100.00,84.09,87.27,90.45,92.04,12,7,3,3,805.66,1070.79,1659.80,1659.80,5,9,9,265.13,854.14,854.14
CIEN,13,90.07,8,70.22,4.278,1.1995,261,81.81,76.93,81.81,80.83,79.86,79.37,13,11,9,8,768.26,841.77,939.22,997.50,2,4,5,73.51,170.96,229.24
NUE,14,89.61,21,65.89,4.111,0.7904,261,80.27,61.44,80.27,76.50,72.74,70.86,14,16,18,18,736.53,680.04,639.34,639.34,-2,-4,-4,-56.49,-97.19,-97.19
GFF,15,88.50,22,65.67,3.833,0.3722,261,76.55,60.66,76.55,73.37,70.19,68.60,15,20,20,21,702.74,604.40,604.40,587.15,-5,-5,-6,-98.34,-98.34,-115.59
ALNT,16,88.45,6,71.22,3.778,0.1649,261,76.38,80.51,76.38,77.21,78.03,78.44,16,13,11,9,680.04,768.26,841.77,939.22,3,5,7,88.22,161.73,259.18
MTZ,17,88.35,7,71.22,3.778,0.2361,261,76.05,80.51,76.05,76.94,77.83,78.28,17,15,12,10,658.99,702.74,805.66,884.12,2,5,7,43.75,146.67,225.13
CRS,18,88.20,9,69.78,3.722,0.0979,261,75.54,75.36,75.54,75.51,75.47,75.45,18,17,14,12,639.34,658.99,736.53,805.66,1,4,6,19.65,97.19,166.32
CMCO,19,87.96,12,68.33,3.667,0.0337,261,74.74,70.17,74.74,73.83,72.91,72.46,19,18,17,16,620.59,639.34,658.99,680.04,1,2,3,18.75,38.40,59.45
ANGO,20,87.89,23,65.67,3.833,0.8302,261,74.51,60.66,74.51,71.74,68.97,67.58,20,21,23,22,604.40,587.15,558.28,572.66,-1,-3,-2,-17.25,-46.12,-31.74
FSLR,21,87.49,10,69.78,3.722,0.6347,261,73.17,75.36,73.17,73.60,74.04,74.26,21,19,15,15,587.15,620.59,702.74,702.74,2,6,6,33.44,115.59,115.59
UHS,22,87.34,15,66.89,3.611,0.2482,261,72.66,65.02,72.66,71.13,69.61,68.84,22,23,22,20,572.66,558.28,572.66,604.40,-1,0,2,-14.38,0.00,31.74
HALO,23,87.06,13,68.33,3.667,0.7028,261,71.73,70.17,71.73,71.41,71.10,70.95,23,22,19,17,558.28,572.66,620.59,658.99,1,4,6,14.38,62.31,100.71
BSVN,24,86.75,20,66.00,4.000,0.5592,261,70.69,61.84,70.69,68.92,67.15,66.26,24,24,25,24,544.58,544.58,532.65,544.58,0,-1,0,0.00,-11.93,0.00
STLD,25,86.60,24,65.44,3.556,0.5488,261,70.18,59.84,70.18,68.11,66.04,65.01,25,26,26,26,532.65,522.13,522.13,522.13,-1,-1,-1,-10.52,-10.52,-10.52
AGEN,26,86.57,31,62.56,3.444,0.0729,261,70.08,49.54,70.08,65.97,61.86,59.81,26,28,28,28,522.13,502.26,502.26,502.26,-2,-2,-2,-19.87,-19.87,-19.87
