pure_signal_rank,symbol,pure_signal_score,composite_score,composite_pts,ess,ess_pts,danelfin,danelfin_pts,zacks,zacks_pts,trim_score,trim_pts,replay_coverage_days,replay_pts
1,PCB,76.67,4.333,34.67,VERY_BULLISH,10.0,4.0,8.0,3,4.0,0.42,10.0,261,10.0
2,AVT,75.44,4.556,36.44,VERY_BULLISH,10.0,3.5,7.0,4,2.0,0.41,10.0,261,10.0
3,ATLC,74.22,4.778,38.22,VERY_BULLISH,10.0,3.0,6.0,5,0.0,0.41,10.0,261,10.0
4,CAH,74.00,4.500,36.00,VERY_BULLISH,10.0,3.0,6.0,4,2.0,0.47,10.0,261,10.0
5,CBOE,71.33,4.667,37.33,VERY_BULLISH,10.0,2.0,4.0,5,0.0,0.31,10.0,261,10.0
6,ALNT,71.22,3.778,30.22,BULLISH,8.0,4.5,9.0,3,4.0,0.07,10.0,261,10.0
7,MTZ,71.22,3.778,30.22,BULLISH,8.0,4.5,9.0,3,4.0,0.11,10.0,261,10.0
8,CIEN,70.22,4.278,34.22,BULLISH,8.0,4.0,8.0,5,0.0,0.54,10.0,261,10.0
9,CRS,69.78,3.722,29.78,BULLISH,8.0,4.0,8.0,3,4.0,0.04,10.0,261,10.0
10,FSLR,69.78,3.722,29.78,BULLISH,8.0,4.0,8.0,3,4.0,0.29,10.0,261,10.0
11,ARW,69.11,4.889,39.11,VERY_BULLISH,10.0,4.0,8.0,5,0.0,0.41,10.0,4,2.0
12,CMCO,68.33,3.667,29.33,BULLISH,8.0,3.5,7.0,3,4.0,0.02,10.0,261,10.0
13,HALO,68.33,3.667,29.33,BULLISH,8.0,3.5,7.0,3,4.0,0.32,10.0,261,10.0
14,VRT,67.44,4.556,36.44,VERY_BULLISH,10.0,3.5,7.0,4,2.0,1.63,10.0,4,2.0
15,UHS,66.89,3.611,28.89,BULLISH,8.0,3.0,6.0,3,4.0,0.11,10.0,261,10.0
16,DVN,66.89,3.611,28.89,BULLISH,8.0,3.0,6.0,3,4.0,0.42,10.0,261,10.0
17,TSM,66.56,4.444,35.56,VERY_BULLISH,10.0,5.0,10.0,3,4.0,12.53,5.0,4,2.0
18,SNX,66.22,4.778,38.22,VERY_BULLISH,10.0,3.0,6.0,5,0.0,0.40,10.0,4,2.0
19,LRCX,66.00,4.500,36.00,VERY_BULLISH,10.0,3.0,6.0,4,2.0,0.43,10.0,4,2.0
20,BSVN,66.00,4.000,32.00,N/A,4.0,4.0,8.0,4,2.0,0.25,10.0,261,10.0
21,NUE,65.89,4.111,32.89,BULLISH,8.0,2.5,5.0,5,0.0,0.36,10.0,261,10.0
22,GFF,65.67,3.833,30.67,BULLISH,8.0,2.5,5.0,4,2.0,0.17,10.0,261,10.0
23,ANGO,65.67,3.833,30.67,BULLISH,8.0,2.5,5.0,4,2.0,0.37,10.0,261,10.0
24,STLD,65.44,3.556,28.44,BULLISH,8.0,2.5,5.0,3,4.0,0.25,10.0,261,10.0
25,ANIP,65.44,3.556,28.44,BULLISH,8.0,2.5,5.0,3,4.0,0.37,10.0,261,10.0
26,ASML,65.33,4.667,37.33,VERY_BULLISH,10.0,4.5,9.0,4,2.0,11.81,5.0,4,2.0
27,PSX,64.78,4.722,37.78,VERY_BULLISH,10.0,2.5,5.0,5,0.0,0.33,10.0,4,2.0
28,MU,64.78,4.722,37.78,VERY_BULLISH,10.0,2.5,5.0,5,0.0,2.72,10.0,4,2.0
29,DELL,64.56,4.444,35.56,VERY_BULLISH,10.0,2.5,5.0,4,2.0,0.59,10.0,4,2.0
30,CVE,62.67,4.833,38.67,VERY_BULLISH,10.0,3.5,7.0,5,0.0,12.58,5.0,4,2.0
31,AGEN,62.56,3.444,27.56,BULLISH,8.0,1.5,3.0,3,4.0,0.03,10.0,261,10.0
32,YELP,62.56,3.444,27.56,BULLISH,8.0,1.5,3.0,3,4.0,0.08,10.0,261,10.0
33,UTHR,62.56,3.444,27.56,BULLISH,8.0,1.5,3.0,3,4.0,0.10,10.0,261,10.0
34,AZZ,62.56,3.444,27.56,BULLISH,8.0,1.5,3.0,3,4.0,0.19,10.0,261,10.0
35,SANM,62.22,4.278,34.22,BULLISH,8.0,4.0,8.0,5,0.0,0.30,10.0,4,2.0
36,NVDA,59.67,3.833,30.67,BULLISH,8.0,5.0,10.0,3,4.0,12.94,5.0,4,2.0
37,AVGO,56.78,3.722,29.78,BULLISH,8.0,4.0,8.0,3,4.0,11.92,5.0,4,2.0
38,STNG,56.71,4.714,37.71,N/A,4.0,4.0,8.0,5,0.0,11.71,5.0,4,2.0
39,SIMO,54.57,4.571,36.57,N/A,4.0,3.5,7.0,5,0.0,11.63,5.0,4,2.0
40,GTX,54.33,4.167,33.33,BULLISH,8.0,3.0,6.0,5,0.0,12.35,5.0,4,2.0
41,MSFT,49.56,3.444,27.56,BULLISH,8.0,1.5,3.0,3,4.0,11.92,5.0,4,2.0
42,SBS,48.71,3.714,29.71,N/A,4.0,3.0,6.0,4,2.0,24.73,5.0,4,2.0
