symbol,max_coverage_days,replay_depth_tier,replay_supported,cw_das_rank_model_a,cw_das_score_model_a,replay_pts_model_a,cw_das_score_model_b,replay_pts_model_b,rank_model_b,cw_das_score_model_c,replay_pts_model_c,rank_model_c,cw_das_score_model_d,rank_model_d,delta_rank_a_to_b,delta_rank_a_to_c,impact_category
VRT,365,STRONG,True,1,95.5,20,95.5,20,1,95.5,20.0,1,95.5,1,0,0,NO_CHANGE_STRONG
ARW,365,STRONG,True,2,94.12,20,94.12,20,2,94.12,20.0,2,94.12,2,0,0,NO_CHANGE_STRONG
SNX,365,STRONG,True,3,93.48,20,93.48,20,3,93.48,20.0,3,93.48,3,0,0,NO_CHANGE_STRONG
ATLC,365,STRONG,True,4,93.47,20,93.47,20,4,93.47,20.0,4,93.47,4,0,0,NO_CHANGE_STRONG
PSX,365,STRONG,True,5,93.35,20,93.35,20,5,93.35,20.0,5,93.35,5,0,0,NO_CHANGE_STRONG
CBOE,365,STRONG,True,6,93.08,20,93.08,20,6,93.08,20.0,6,93.08,6,0,0,NO_CHANGE_STRONG
AVT,365,STRONG,True,7,92.12,20,92.12,20,7,92.12,20.0,7,92.12,7,0,0,NO_CHANGE_STRONG
LRCX,365,STRONG,True,8,91.74,20,91.74,20,8,91.74,20.0,8,91.74,8,0,0,NO_CHANGE_STRONG
CAH,365,STRONG,True,9,91.62,20,91.62,20,9,91.62,20.0,9,91.62,9,0,0,NO_CHANGE_STRONG
DELL,365,STRONG,True,10,90.91,20,90.91,20,10,90.91,20.0,10,90.91,10,0,0,NO_CHANGE_STRONG
SANM,6,THIN,True,11,90.78,20,80.78,10,33,71.11,0.33,37,90.78,11,-22,-26,THIN_EVIDENCE_DOWNGRADE
PCB,365,STRONG,True,12,90.75,20,90.75,20,11,90.75,20.0,11,90.75,12,1,1,NO_CHANGE_STRONG
CIEN,365,STRONG,True,13,90.07,20,90.07,20,12,90.07,20.0,12,90.07,13,1,1,NO_CHANGE_STRONG
NUE,365,STRONG,True,14,89.61,20,89.61,20,13,89.61,20.0,13,89.61,14,1,1,NO_CHANGE_STRONG
GFF,365,STRONG,True,15,88.5,20,88.5,20,14,88.5,20.0,14,88.5,15,1,1,NO_CHANGE_STRONG
ALNT,365,STRONG,True,16,88.45,20,88.45,20,15,88.45,20.0,15,88.45,16,1,1,NO_CHANGE_STRONG
MTZ,365,STRONG,True,17,88.35,20,88.35,20,16,88.35,20.0,16,88.35,17,1,1,NO_CHANGE_STRONG
CRS,365,STRONG,True,18,88.2,20,88.2,20,17,88.2,20.0,17,88.2,18,1,1,NO_CHANGE_STRONG
CMCO,365,STRONG,True,19,87.96,20,87.96,20,18,87.96,20.0,18,87.96,19,1,1,NO_CHANGE_STRONG
ANGO,365,STRONG,True,20,87.89,20,87.89,20,19,87.89,20.0,19,87.89,20,1,1,NO_CHANGE_STRONG
FSLR,365,STRONG,True,21,87.49,20,87.49,20,20,87.49,20.0,20,87.49,21,1,1,NO_CHANGE_STRONG
UHS,365,STRONG,True,22,87.34,20,87.34,20,21,87.34,20.0,21,87.34,22,1,1,NO_CHANGE_STRONG
HALO,365,STRONG,True,23,87.06,20,87.06,20,22,87.06,20.0,22,87.06,23,1,1,NO_CHANGE_STRONG
