symbol,ess_score_text,ess_numeric,ess_direction,zacks_rating,zacks_direction,danelfin_score,danelfin_direction,yahoo_abr,yahoo_direction,yahoo_upside_pct,replay_supported,composite_score,ucf_label,ucf_score,conflict_flag,majority_direction,ess_agrees_majority,zacks_agrees_majority,danelfin_agrees_majority,yahoo_agrees_majority,signal_count_bullish,signal_count_bearish,signal_count_neutral,disagreement_level,disagreement_type,notes
AEIS,BEARISH,2,BEARISH,5.0,BULLISH,4.0,BULLISH,1.70,BULLISH,,,3.055556,DEPLOYMENT_CANDIDATE,58.61,COMPOSITE_ESS_DIVERGE,BULLISH,N,Y,Y,Y,3,1,0,MAJOR,ESS_vs_Zacks|ESS_vs_Danelfin|ESS_vs_Yahoo,ESS BEARISH vs Zacks Strong Buy + Danelfin positive; ESS 61% weight suppresses composite to 3.06; COMPOSITE_ESS_DIVERGE flag
ARW,VERY_BULLISH,5,BULLISH,5.0,BULLISH,4.0,BULLISH,,N/A,,,4.888889,HIGH_CONVICTION_ANCHOR,92.78,none,BULLISH,Y,Y,Y,N/A,3,0,0,ALIGNED,none,
ASML,VERY_BULLISH,5,BULLISH,4.0,BULLISH,4.5,BULLISH,1.45,BULLISH,,,4.666667,HIGH_CONVICTION_ANCHOR,80.68,CONVICTION_OW_TENSION,BULLISH,Y,Y,Y,Y,4,0,0,MINOR,none,
ATLC,VERY_BULLISH,5,BULLISH,5.0,BULLISH,3.0,NEUTRAL,,N/A,,,4.777778,HIGH_CONVICTION_ANCHOR,92.13,none,BULLISH,Y,Y,N,N/A,2,0,1,ALIGNED,ESS_vs_Danelfin|Zacks_vs_Danelfin,
AVGO,BULLISH,4,BULLISH,3.0,NEUTRAL,4.0,BULLISH,1.30,BULLISH,,,3.722222,HIGH_CONVICTION_ANCHOR,74.6,CONVICTION_OW_TENSION,BULLISH,Y,N,Y,Y,3,0,1,MINOR,ESS_vs_Zacks|Zacks_vs_Danelfin,
AVT,VERY_BULLISH,5,BULLISH,4.0,BULLISH,3.5,NEUTRAL,,N/A,,,4.555556,HIGH_CONVICTION_ANCHOR,90.77,none,BULLISH,Y,Y,N,N/A,2,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
CAH,VERY_BULLISH,5,BULLISH,4.0,BULLISH,3.0,NEUTRAL,1.47,BULLISH,,,4.5,HIGH_CONVICTION_ANCHOR,90.23,none,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
CBOE,VERY_BULLISH,5,BULLISH,5.0,BULLISH,2.0,BEARISH,3.12,NEUTRAL,,,4.666667,HIGH_CONVICTION_ANCHOR,91.81,none,BULLISH,Y,Y,N,N,2,1,1,ALIGNED,ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,ESS VERY_BULLISH; Yahoo analyst upside -8.7% (modest overvalued per analysts)
CIEN,BULLISH,4,BULLISH,5.0,BULLISH,4.0,BULLISH,2.05,NEUTRAL,,,4.277778,HIGH_CONVICTION_ANCHOR,88.61,none,BULLISH,Y,Y,Y,N,3,0,1,MINOR,ESS_vs_Yahoo,ESS BULLISH + Zacks/Danelfin bullish; Yahoo analyst upside -20.1% (overvalued per analysts)
CVE,VERY_BULLISH,5,BULLISH,5.0,BULLISH,3.5,NEUTRAL,1.47,BULLISH,,,4.833333,HIGH_CONVICTION_ANCHOR,78.73,CONVICTION_OW_TENSION,BULLISH,Y,Y,N,Y,3,0,1,ALIGNED,ESS_vs_Danelfin|Zacks_vs_Danelfin,
DELL,VERY_BULLISH,5,BULLISH,4.0,BULLISH,2.5,NEUTRAL,2.00,BULLISH,,,4.444444,HIGH_CONVICTION_ANCHOR,89.41,none,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,ESS VERY_BULLISH; Yahoo analyst upside -17.4% (overvalued per analysts)
FHI,BULLISH,4,BULLISH,3.0,NEUTRAL,2.5,NEUTRAL,2.88,NEUTRAL,,,3.555556,TACTICAL_GROWTH,50.48,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,MIXED,N,N,N,N,1,0,3,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin|ESS_vs_Yahoo,
GTX,BULLISH,4,BULLISH,5.0,BULLISH,3.0,NEUTRAL,2.17,NEUTRAL,,,4.166667,HIGH_CONVICTION_ANCHOR,75.61,CONVICTION_OW_TENSION,MIXED,N,N,N,N,2,0,2,MINOR,ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,
