symbol,covered_value,sentinel_value,winner_before_fix,winner_after_fix,ess_before,ess_after,ess_changed
AAON,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ADEA,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ADI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ADM,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
AEIS,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
AER,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
AGX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ALB,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
ALHC,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
ALRS,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
AMD,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ANAB,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
APA,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
AR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ARCB,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ARKO,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ARW,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ATEN,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
ATLC,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ATRC,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
AVT,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
AWR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
AXON,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
BAND,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
BE,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
BFH,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
BG,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
BILL,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
BJ,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
BP,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
BTSG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
CAH,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
