rank,symbol,cw_das_score,replay_supported,replay_percentile_current,computed_pctile_vs_universe,computed_pctile_within_topn,pctile_tier,replay_id,replay_geo,replay_cap,replay_industry,replay_start,replay_end,replay_top_n,replay_selection_rank,replay_universe_n,replay_strategy_return_pct,replay_benchmark_return_pct,replay_vs_benchmark_delta_pct,ucf_score_current,ucf_label,ucf_delta_if_pctile_populated,ucf_score_with_pctile,cw_das_replay_pts_current,cw_das_replay_pts_with_pctile,cw_das_ranking_impact
1,VRT,95.53,True,(blank — hardcoded None),90.8,45.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-LARGE-ALL-TOP20-WP05D-20260526-ALL2-US-LARGE-ALL,US,LARGE,ALL,2026-05-20,2026-05-26,20,12,120,4.72,1.32,3.4,91.17,CORE_CONVICTION_LEADER,1.84,89.33,20.0,20.0,NONE — binary gate
2,ARW,94.11,True,(blank — hardcoded None),99.2,75.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-SMALL-ALL-TOP20-WP05D-20260526-ALL2-US-SMALL-ALL,US,SMALL,ALL,2026-05-20,2026-05-26,20,6,611,4.02,3.6,0.42,92.76,HIGH_CONVICTION_ANCHOR,0.16,92.6,20.0,20.0,NONE — binary gate
3,SNX,93.51,True,(blank — hardcoded None),97.1,45.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-MID-ALL-TOP20-WP05D-20260526-ALL2-US-MID-ALL,US,MID,ALL,2026-05-20,2026-05-26,20,12,380,2.76,2.1,0.66,92.19,HIGH_CONVICTION_ANCHOR,0.58,91.61,20.0,20.0,NONE — binary gate
4,ATLC,93.48,True,(blank — hardcoded None),100.0,100.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-MICRO-FINANCIAL_SERVICES-TOP20-RUN-WP05D-20260515-FIN1-US-MICRO-FINANCIAL_SERVICES,US,MICRO,FINANCIAL SERVICES,2025-05-14,2026-05-14,20,1,182,13.8,37.4,-23.6,92.14,HIGH_CONVICTION_ANCHOR,0.0,92.14,20.0,20.0,NONE — binary gate
5,PSX,93.34,True,(blank — hardcoded None),96.6,35.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-MID-ALL-TOP20-WP05D-20260526-ALL2-US-MID-ALL,US,MID,ALL,2026-05-20,2026-05-26,20,14,380,2.76,2.1,0.66,92.05,HIGH_CONVICTION_ANCHOR,0.68,91.37,20.0,20.0,NONE — binary gate
6,CBOE,93.04,True,(blank — hardcoded None),98.5,95.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-MID-FINANCIAL_SERVICES-TOP20-RUN-WP05D-20260515-FIN1-US-MID-FINANCIAL_SERVICES,US,MID,FINANCIAL SERVICES,2025-05-14,2026-05-14,20,2,66,17.7,20.32,-2.63,91.76,HIGH_CONVICTION_ANCHOR,0.3,91.46,20.0,20.0,NONE — binary gate
7,AVT,92.1,True,(blank — hardcoded None),98.9,95.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-SMALL-TECHNOLOGY-TOP20-RUN-WP05D-20260515-TECH1-US-SMALL-TECHNOLOGY,US,SMALL,TECHNOLOGY,2025-05-14,2026-05-14,20,2,94,45.29,37.4,7.89,90.75,HIGH_CONVICTION_ANCHOR,0.22,90.53,20.0,20.0,NONE — binary gate
8,LRCX,91.73,True,(blank — hardcoded None),89.2,35.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-LARGE-ALL-TOP20-WP05D-20260526-ALL2-US-LARGE-ALL,US,LARGE,ALL,2026-05-20,2026-05-26,20,14,120,4.72,1.32,3.4,90.37,HIGH_CONVICTION_ANCHOR,2.16,88.21,20.0,20.0,NONE — binary gate
9,CAH,91.59,True,(blank — hardcoded None),100.0,100.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-MID-HEALTHCARE-TOP20-RUN-WP05D-20260515-HEALTH1-US-MID-HEALTHCARE,US,MID,HEALTHCARE,2025-05-14,2026-05-14,20,1,45,15.02,20.32,-5.31,90.19,HIGH_CONVICTION_ANCHOR,0.0,90.19,20.0,20.0,NONE — binary gate
10,DELL,90.91,True,(blank — hardcoded None),90.0,40.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-LARGE-ALL-TOP20-WP05D-20260526-ALL2-US-LARGE-ALL,US,LARGE,ALL,2026-05-20,2026-05-26,20,13,120,4.72,1.32,3.4,89.41,HIGH_CONVICTION_ANCHOR,2.0,87.41,20.0,20.0,NONE — binary gate
11,SANM,90.78,True,(blank — hardcoded None),97.9,35.0,TOP_QUINTILE,REPLAY-2026-05-20-TO-2026-05-26-US-SMALL-ALL-TOP20-WP05D-20260526-ALL2-US-SMALL-ALL,US,SMALL,ALL,2026-05-20,2026-05-26,20,14,611,4.02,3.6,0.42,89.53,HIGH_CONVICTION_ANCHOR,0.42,89.11,20.0,20.0,NONE — binary gate
12,PCB,90.74,True,(blank — hardcoded None),94.0,45.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-MICRO-FINANCIAL_SERVICES-TOP20-RUN-WP05D-20260515-FIN1-US-MICRO-FINANCIAL_SERVICES,US,MICRO,FINANCIAL SERVICES,2025-05-14,2026-05-14,20,12,182,13.8,37.4,-23.6,89.38,HIGH_CONVICTION_ANCHOR,1.2,88.18,20.0,20.0,NONE — binary gate
13,CIEN,90.11,True,(blank — hardcoded None),100.0,100.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-MID-TECHNOLOGY-TOP20-RUN-WP05D-20260515-TECH1-US-MID-TECHNOLOGY,US,MID,TECHNOLOGY,2025-05-14,2026-05-14,20,1,77,124.65,20.32,104.33,88.67,HIGH_CONVICTION_ANCHOR,0.0,88.67,20.0,20.0,NONE — binary gate
14,NUE,89.62,True,(blank — hardcoded None),77.4,65.0,TOP_2Q,REPLAY-2025-05-14-TO-2026-05-14-US-MID-BASIC_MATERIALS-TOP20-RUN-WP05D-20260515-BMAT1-US-MID-BASIC_MATERIALS,US,MID,BASIC MATERIALS,2025-05-14,2026-05-14,20,8,31,39.58,20.32,19.26,88.32,HIGH_CONVICTION_ANCHOR,4.52,83.8,20.0,20.0,NONE — binary gate
15,GFF,88.5,True,(blank — hardcoded None),87.3,30.0,TOP_QUINTILE,REPLAY-2025-05-14-TO-2026-05-14-US-SMALL-INDUSTRIALS-TOP20-RUN-WP05D-20260515-INDUS1-US-SMALL-INDUSTRIALS,US,SMALL,INDUSTRIALS,2025-05-14,2026-05-14,20,15,110,77.04,37.4,39.64,87.36,HIGH_CONVICTION_ANCHOR,2.54,84.82,20.0,20.0,NONE — binary gate
