rank,symbol,cw_das_score,ucf_label,ucf_score,composite_score,signal_direction,ess_value,ess_source_file,ess_snapshot_date,ess_age_days,ess_coverage_domain,ess_numeric,ess_present,ess_stale,zacks_value,zacks_source_file,zacks_source_date,zacks_age_days,zacks_present,zacks_stale,danelfin_value,danelfin_source_file,danelfin_source_date,danelfin_age_days,danelfin_present,danelfin_stale,replay_supported,replay_percentile,replay_percentile_present,score_signal_pts,score_replay_pts,score_conviction_pts,score_sizing_pts,score_momentum_pts,score_redundancy_pen,score_conc_pen,yahoo_price_target,yahoo_abr,yahoo_upside_pct,yahoo_present,missing_signals,stale_signals,signal_risk,cross_artifact_status
1,VRT,95.53,CORE_CONVICTION_LEADER,91.17,4.5556,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,27.33,20.0,35.0,3.2,10.0,0.0,0.0,376.80,1.50,18.5,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
2,ARW,94.11,HIGH_CONVICTION_ANCHOR,92.76,4.8889,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,4.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,29.33,20.0,28.0,6.78,10.0,0.0,0.0,214.50,(blank),-2.1,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
3,SNX,93.51,HIGH_CONVICTION_ANCHOR,92.19,4.7778,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,28.67,20.0,28.0,6.85,10.0,0.0,0.0,241.36,1.55,-5.7,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
4,ATLC,93.48,HIGH_CONVICTION_ANCHOR,92.14,4.7778,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,28.67,20.0,28.0,6.81,10.0,0.0,0.0,104.00,(blank),23.8,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
5,PSX,93.34,HIGH_CONVICTION_ANCHOR,92.05,4.7222,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,28.33,20.0,28.0,7.0,10.0,0.0,0.0,190.58,2.15,7.9,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
6,CBOE,93.04,HIGH_CONVICTION_ANCHOR,91.76,4.6667,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,5.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,28.0,20.0,28.0,7.04,10.0,0.0,0.0,330.43,3.12,-3.9,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
7,AVT,92.1,HIGH_CONVICTION_ANCHOR,90.75,4.5556,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,27.33,20.0,28.0,6.77,10.0,0.0,0.0,89.00,(blank),0.6,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
8,LRCX,91.73,HIGH_CONVICTION_ANCHOR,90.37,4.5,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,27.0,20.0,28.0,6.73,10.0,0.0,0.0,313.69,1.53,-3.2,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
9,CAH,91.59,HIGH_CONVICTION_ANCHOR,90.19,4.5,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,3.0000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,27.0,20.0,28.0,6.59,10.0,0.0,0.0,245.27,1.47,22.8,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
10,DELL,90.91,HIGH_CONVICTION_ANCHOR,89.41,4.4444,BULLISH,VERY_BULLISH,EquitySummaryScores-May2026.csv,2026-05-26,5,STARMINE_COVERED,5.0,Y,N,4.0,2026-05-29_zacks.csv,2026-05-29,2,Y,N,2.5000,2026-05-29_danelfin.csv,2026-05-29,2,Y,N,True,(blank),N,26.67,20.0,28.0,6.24,10.0,0.0,0.0,220.26,2.00,-48.3,Y,replay_percentile,none,MEDIUM_RISK,CONSISTENT
