rank,symbol,ess_source_text,ess_source_numeric,ess_source_date,ess_universe_text,ess_overlay_display,ess_verdict,zacks_source_rank,zacks_source_score,zacks_source_date,zacks_universe_rating,zacks_overlay_display,zacks_verdict,danelfin_source_raw,danelfin_source_score,danelfin_source_date,danelfin_universe_score,danelfin_overlay_display,danelfin_verdict,yahoo_abr_raw,yahoo_target,yahoo_upside,yahoo_date,yahoo_notes,composite_source_calculation,composite_universe,composite_overlay_display,composite_verdict,cw_das_universe,cw_das_overlay_display,cw_das_verdict
1,VRT,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,2.0,4.0,2026-05-29,4.0,4.0,CONSISTENT,7,3.5000,2026-05-29,3.5,3.5,CONSISTENT,1.50,376.80,18.5,2026-05-29,,4.5556,4.555556,4.555556,CONSISTENT,95.53,95.53,CONSISTENT
2,ARW,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,8,4.0000,2026-05-29,4.0,4.0,CONSISTENT,,214.50,-2.1,2026-05-29,,4.8889,4.888889,4.888889,CONSISTENT,94.11,94.11,CONSISTENT
3,SNX,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,6,3.0000,2026-05-29,3.0,3.0,CONSISTENT,1.55,241.36,-5.7,2026-05-29,,4.7778,4.777778,4.777778,CONSISTENT,93.51,93.51,CONSISTENT
4,ATLC,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,6,3.0000,2026-05-29,3.0,3.0,CONSISTENT,,104.00,23.8,2026-05-29,,4.7778,4.777778,4.777778,CONSISTENT,93.48,93.48,CONSISTENT
5,PSX,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,5,2.5000,2026-05-29,2.5,2.5,CONSISTENT,2.15,190.58,7.9,2026-05-29,,4.7222,4.722222,4.722222,CONSISTENT,93.34,93.34,CONSISTENT
6,CBOE,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,4,2.0000,2026-05-29,2.0,2.0,CONSISTENT,3.12,330.43,-3.9,2026-05-29,,4.6667,4.666667,4.666667,CONSISTENT,93.04,93.04,CONSISTENT
7,AVT,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,2.0,4.0,2026-05-29,4.0,4.0,CONSISTENT,7,3.5000,2026-05-29,3.5,3.5,CONSISTENT,,89.00,0.6,2026-05-29,,4.5556,4.555556,4.555556,CONSISTENT,92.1,92.1,CONSISTENT
8,LRCX,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,2.0,4.0,2026-05-29,4.0,4.0,CONSISTENT,6,3.0000,2026-05-29,3.0,3.0,CONSISTENT,1.53,313.69,-3.2,2026-05-29,,4.5,4.5,4.5,CONSISTENT,91.73,91.73,CONSISTENT
9,CAH,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,2.0,4.0,2026-05-29,4.0,4.0,CONSISTENT,6,3.0000,2026-05-29,3.0,3.0,CONSISTENT,1.47,245.27,22.8,2026-05-29,,4.5,4.5,4.5,CONSISTENT,91.59,91.59,CONSISTENT
10,DELL,VERY_BULLISH,5.0,2026-05-26,VERY_BULLISH,VERY_BULLISH,CONSISTENT,2.0,4.0,2026-05-29,4.0,4.0,CONSISTENT,5,2.5000,2026-05-29,2.5,2.5,CONSISTENT,2.00,220.26,-48.3,2026-05-29,STALE TARGET RISK: ABR=2.00 (Buy) but upside=-48.3%,4.4444,4.444444,4.444444,CONSISTENT,90.91,90.91,CONSISTENT
11,SANM,BULLISH,4.0,2026-05-26,BULLISH,BULLISH,CONSISTENT,1.0,5.0,2026-05-29,5.0,5.0,CONSISTENT,8,4.0000,2026-05-29,4.0,4.0,CONSISTENT,,212.25,-20.2,2026-05-29,,4.2778,4.277778,4.277778,CONSISTENT,90.78,90.78,CONSISTENT
