rank,symbol,score,score_source,action,tier,notes
1,VRT,97.99,CW-DAS,BUY,CORE_CONVICTION_LEADER,DQ rank 1
2,ARW,96.76,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 2
3,ATLC,94.65,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 3
4,LRCX,94.51,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 4
5,DELL,94.38,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 5
6,CAH,92.86,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 6
7,PCB,92.57,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 7
8,SANM,92.47,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 8
9,AVT,92.39,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 9
10,CRS,91.36,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 10
11,MTZ,91.36,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 11
12,NUE,90.91,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 12
13,SNX,90.43,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 13
14,PSX,90.35,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 14
15,UHS,89.34,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 15
16,ALNT,88.92,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 16
17,HALO,88.65,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 17
18,ANGO,88.33,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 18
19,FSLR,86.38,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,DQ rank 19
20,GTX,86.11,CW-DAS,BUY,CORE_CONVICTION_LEADER,DQ rank 20
